1. **文件类型**：这是台湾化学纤维股份有限公司及子公司的合并资产负债表。
2. **公司名称**：台湾化学纤维股份有限公司。
3. **主要标题或类别**：
   - **负债及权益**：包括流动负债、非流动负债、归属于母公司股东的权益等。
   - **财务数据摘要**：提供了不同日期（111年12月31日、111年9月30日、111年1月1日）的负债及权益总额、流动负债总额、非流动负债总额、归属于母公司股东的权益总额等数据。

### 财务数据摘要

#### 111年12月31日
- **负债及权益总额**：$555,546,296
- **流动负债总额**：$116,950,946
- **非流动负债总额**：$438,595,350
- **归属于母公司股东的权益总额**：$182,182,164

#### 111年9月30日
- **负债及权益总额**：$580,586,874
- **流动负债总额**：$124,452,673
- **非流动负债总额**：$456,134,201
- **归属于母公司股东的权益总额**：$190,458,063

#### 111年1月1日
- **负债及权益总额**：$598,345,271
- **流动负债总额**：$84,917,037
- **非流动负债总额**：$513,428,234
- **归属于母公司股东的权益总额**：$154,364,317

### 其他信息
- **单位**：新台币仟元
- **日期范围**：民国112年9月30日及民国111年12月31日、9月30日、1月1日
- **签字**：董事长洪福源、经理人吕文进、会计主管郑文彦

这份财务报表提供了公司截至不同日期的负债、权益和股东权益的详细信息，有助于分析公司的财务状况和经营成果。
