中華電信股份有限公司及實子公司

合併綜合損益表

民國 112 年及 111 年 7 月 1 日至 9 月 30 日以及民國 112 年及 111 年 1 月 1 日至 9 月 30 日

單位：新台幣仟元，惟

每股盈餘為元

| 代 碼 | 金 額 | % | 金 額 | % | 金 額 | % | 金 額 | % |
|---|---|---|---|---|---|---|---|---|
| 4000 | 營業收入（附註二九、三七及四二） | $ 157,238,260 | 100 | $ 161,332,502 | 100 | $ 157,238,260 | 100 |
| 5000 | 營業成本（附註十、二七、三十及三七） | 100,548,189 | 62 | 100,548,189 | 62 | 97,211,557 | 62 |
| 5900 | 營業毛利 | 60,784,313 | 38 | 60,784,313 | 38 | 60,026,703 | 38 |
| 6100 | 營業費用（附註九、二七、三十及三七） | 16,641,971 | 10 | 17,149,826 | 11 | 16,641,971 | 10 |
| 6200 | 管理費用 | 4,630,572 | 3 | 4,797,693 | 3 | 4,630,572 | 3 |
| 6300 | 研究發展費用 | 2,785,315 | 2 | 2,854,258 | 2 | 2,785,315 | 2 |
| 6450 | 預期信用減損損失 | 95,102 | - | 85,147 | - | 95,102 | - |
| 6000 | 營業費用合計 | 24,152,960 | 15 | 24,886,924 | 16 | 24,152,960 | 15 |
| 6500 | 其他收益及費損淨額（附註三十） | - | - | 1,462 | - | - | - | 6,013 | - |
| 6900 | 營業淨利 | 35,867,730 | 23 | 35,898,851 | 22 | 35,867,730 | 23 |
| 7100 | 營業外收入及支出 | 146,294 | - | 146,294 | - | 146,294 | - |
| 7100 | 利息收入 | 136,526 | - | 58,013 | - | 455,069 | - |
| 7190 | 其他收入（附註三十及三七） | 76,840 | - | 68,626 | - | 325,769 | - |
| 7020 | 其他利益及損失（附註三十、三六及三七） | 118,066 | - | 118,066 | - | 228,718 | - |
| 7510 | 利息費用（附註十六、三十及三七） | 190,264 | - | 69,312 | - | 190,264 | - |
| 7060 | 採用權益法認列關聯企業及合資損益之份額 | 400,910 | - | 339,473 | - | 400,910 | - |
| 7000 | 營業外收入及支出合計 | 515,816 | - | 658,283 | - | 515,816 | - |
| 7900 | 稅前淨利 | 36,383,546 | 23 | 36,557,134 | 22 | 36,383,546 | 23 |
| 7950 | 所得稅費用（附註三及三一） | 7,180,947 | 4 | 7,097,925 | 4 | 7,180,947 | 4 |
| 8200 | 本期淨利 | 29,202,599 | 19 | 29,459,209 | 18 | 29,202,599 | 19 |
| 8316 | 透過其他綜合損益按公允價值衡量之權 | 127,988 | - | 547,814 | - | 127,988 | - |
| 8317 | 直接基礎調整之避險工具損益（附註二 | 21,038 | - | 16,426 | - | 21,038 | - |
| 8320 | 採用權益法認列關聯企業及合資之其他 | 3,906 | - | 7,488 | - | 3,906 | - |
| 8310 | 綜合損益份額（附註十四） | 103,044 | - | 538,876 | - | 103,044 | - |
| 8500 | 本期綜合損益總額 | 29,443,914 | 19 | 29,443,914 | 19 | 29,443,914 | 19 |
| 8610 | 母公司業主 | 28,075,670 | 18 | 28,659,133 | 18 | 28,075,670 | 18 |
| 8620 | 非控制權益 | 1,126,929 | 1 | 800,076 | - | 1,126,929 | 1 |
| 8600 | 綜合損益總額歸屬於： | 29,202,599 | 19 | 29,459,209 | 18 | 29,202,599 | 19 |
| 8710 | 母公司業主 | 28,303,690 | 18 | 29,311,597 | 18 | 28,303,690 | 18 |
| 8720 | 非控制權益 | 1,140,224 | 1 | 794,945 | - | 1,140,224 | 1 |
| 8700 | 綜合損益總額歸屬於： | 29,443,914 | 19 | 29,443,914 | 19 | 29,443,914 | 19 |
| 9710 | 每股盈餘（附註三二） | 3.62 | - | 3.69 | - | 3.62 | - |
| 9810 | 每股盈餘（附註三二） | 3.62 | - | 3.69 | - | 3.
