（承前頁）

| 投資公司名稱 | 子公司名稱 | 業務性質 | 所持股份比例 |
| --- | --- | --- | --- |
| 112年3月31日 | 111年12月31日 | 111年3月31日 | 說明 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.00 | 100.00 | 100.00 | 1 |
| 100.0
