光寶科技股份有限公司

民國112年及111年7月1日至9月30日以及民國112年及111年1月1日至9月30日

單位：新台幣仟元，惟
每股盈餘為元

| 代 碼 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|-------|------------------|------------------|------------------|------------------|
| 4110  | 40,984,157        | 47,127,280        | 113,498,349       | 133,162,997       |
| 4190  | 923,375          | 885,748          | 1,770,111        | 2,551,497        |
| 4170  | 103,558          | 67,213           | 303,814          | 249,928          |
| 4000  | 39,957,224       | 46,174,319       | 111,424,424      | 130,361,572      |
| 5110  | 30,525,697       | 37,171,651       | 86,892,867       | 105,514,836      |
| 5900  | 9,431,527        | 9,002,668        | 24,531,557       | 24,846,736       |
| 6100  | 1,493,734        | 1,489,533        | 4,282,222        | 4,463,865        |
| 6200  | 1,278,359        | 1,194,848        | 3,324,316        | 3,341,126        |
| 6300  | 2,036,612        | 1,898,963        | 5,847,638        | 5,268,752        |
| 6450  | 2,816            | -                | 21,208           | -                |
| 6000  | 4,811,521        | 4,608,476        | 13,432,968       | 13,101,261       |
| 6900  | 4,620,006        | 4,394,192        | 11,098,589       | 11,745,475       |
| 7010  | 168,934          | -                | 664,841          | 487,068          |
| 7020  | 625,199          | 643,128          | 1,324,550        | 429,675          |
| 7050  | 402,257          | 220,760          | 1,115,166        | 410,425          |
| 7100  | 715,955          | 350,669          | 2,026,719        | 735,282          |
| 7060  | 16,409           | -                | 14,199           | -                |
| 7000  | 1,124,240        | 953,986          | 2,915,143        | 1,252,790        |
| 7900  | 5,744,246        | 5,348,178        | 14,013,732       | 12,998,265       |
| 7950  | 1,177,570        | 1,096,377        | 2,872,815        | 2,664,640        |
| 8200  | 4,566,676        | 4,251,801        | 11,140,917       | 10,333,625       |
| 8310  | -                | -                | -                | -                |
| 8316  | 76,230           | 123,303          | 85,428           | 124,031          |
| 8320  | 1,362            | -                | -                | -                |
| 8320  | 77,592           | 123,303          | 84,330           | 124,108          |
