統一企業股份有限公司及子公司

民國112年3月31日及民國111年12月31日、3月31日
（民國112年及111年3月31日之合併財務報表未經審核，未依審計準則查核）

單位：新台幣仟元

| 資  產 | 附註 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|---|---|---|---|---|
| 流動資產 | | | | |
| 1100 | 現金及約當現金 | 六(一) | $ 93,916,847 | 17 | $ 96,986,253 | 18 | $ 82,116,368 | 16 |
| 1110 | 透過損益按公允價值衡量之金融資產－流動 | 六(二) | 8,218,300 | 1 | 7,149,196 | 1 | 9,844,748 | 2 |
| 1136 | 按攤銷後成本衡量之金融資產－流動 | 六(三) | 15,322,834 | 3 | 16,814,909 | 3 | 14,925,907 | 3 |
| 1150 | 應收票據淨額 | 六(四)及十二 | 1,388,957 | - | 1,885,249 | - | 1,677,246 | - |
| 1160 | 應收票據－關係人淨額 | 七 | 269 | - | 247 | - | 262 | - |
| 1170 | 應收帳款淨額 | 六(四)及十二 | 17,233,099 | 3 | 18,659,495 | 3 | 17,557,170 | 3 |
| 1180 | 應收帳款－關係人淨額 | 七 | 1,308,715 | - | 1,370,800 | - | 1,217,996 | - |
| 1200 | 其他應收款 | 六(五)(十)及十二 | 9,031,544 | 2 | 5,711,991 | 1 | 5,637,061 | 1 |
| 1220 | 本期所得稅資產 | 六(三十二) | 192,191 | - | 177,976 | - | 138,444 | - |
| 130X | 存貨 | 六(六)(九) | 47,448,862 | 9 | 52,932,399 | 10 | 43,370,409 | 8 |
| 1410 | 預付款項 | 5,227,541 | 1 | 5,155,852 | 1 | 4,749,400 | 1 |
| 1470 | 其他流動資產 | 六(一)及八 | 3,425,456 | 1 | 3,238,750 | 1 | 3,361,609 | 1 |
| 11XX | 流動資產合計 | | 202,714,615 | 37 | 210,083,117 | 38 | 184,596,620 | 35 |
| 非流動資產 | | | | | | | | |
| 1510 | 透過損益按公允價值衡量之金融資產－非流動 | 六(二) | 6,346,522 | 1 | 6,458,689 | 1 | 8,110,817 | 2 |
| 1517 | 透過其他綜合損益按公允價值衡量之金融資產－非流動 | 六(七) | 5,035,095 | 1 | 4,853,589 | 1 | 4,352,703 | 1 |
| 1535 | 按攤銷後成本衡量之金融資產－非流動 | 六(三) | 18,416,203 | 4 | 17,842,162 | 3 | 20,918,793 | 4 |
| 1550 | 採用權益法之投資 | 六(八)及八 | 33,539,345 | 6 | 32,655,836 | 6 | 34,031,577 | 7 |
| 1600 | 不動產、廠房及設備 | 六(九)(十四) | 126,561,364 | 23 | 125,862,298 | 23 | 124,042,415 | 24 |
| 1755 | 使用權資產 | 六(十) | 98,231,925 | 18 | 96,959,612 | 18 | 92,067,371 | 18 |
| 1760 | 投資性不動產淨額 | 六(九)(十二) | (十四)及八 | 21,883,346 | 4 | 22,918,094 | 4 | 18,246,720 | 3 |
| 1780 | 無形資產 | 六(十三)及七 | 16,350,318 | 3 | 16,680,832 | 3 | 17,102,322 | 3 |
| 1840 | 遞延所得稅資產 | 六(三十二) | 6,550,677 | 1 | 5,997,994 | 1 | 6,639,770 | 1 |
| 1915 | 預付設備款 | 七 | 1,201,298 | - | 1,188,792 | - | 1,404,902 | - |
| 1920 | 存出保證金 | 八 | 3,859,279 | 1 | 3,795,154 | 1 | 3,626,445 | 1 |
| 1990 | 其他非流動資產－其他 | 六(一)(二十) | 6,853,373 | 1 | 6,103,745 | 1 | 5,562,352 | 1 |
| 15XX | 非流動資產合計 | | 344,828,745 | 63 | 341,316,797 | 62 | 336,106,187 | 65 |
| 1XXX | 資產總計 | | $ 547,543,360 | 100 | $ 551,399,914 | 100 | $ 520,702,807 | 100 |
