```markdown
# (八) 對主要管理階層之獎酬（包含停業單位）

### 111年及110年1月1日至9月30日對董事及其他主要管理階層之薪酬總額如下：

|  | 111年7月1日至9月30日 | 110年7月1日至9月30日 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|---|---|---|---|---|
| 短期員工福利 | $114,795 | $130,086 | $360,712 | $398,011 |
| 退職後福利 | 1,829 | 1,536 | 10,836 | 4,646 |
| 股份基礎給付 | - | 105,960 | 23,466 | 114,147 |
| 其他長期員工福利 | 3,375 | - | 13,588 | - |
| **總額** | **$119,999** | **$237,582** | **$408,602** | **$516,804** |

## 三五、質抵押之資產

### 合併公司下列資產業已質抵押作為部分短期借款、長期負債、履約保證及其他信用融通之擔保品：

|  | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|---|---|---|---|
| 透過其他綜合損益按公允價值衡量之金融資產 | $291,970 | $313,250 | $308,560 |
| 不動產、廠房及設備 | 3,044,247 | 3,134,392 | 3,164,440 |
| 採用權益法之投資 | 37,521 | 54,541 | 45,548 |
| 投資性不動產 | 819,544 | 837,936 | 837,936 |
| 存出保證金（帳列其他非流動資產） | 1,051,629 | 1,034,520 | 1,067,551 |
| 已質押銀行存款（帳列按攤銷後成本衡量之金融資產） | - | - | - |
| 一 流 動 | 1,269,161 | 471,859 | 383,323 |
| 一 非 流 動 | 2,072,534 | 1,821,134 | 1,539,131 |

## 三六、重大或有負債及未認列之合約承諾

### (一) 合併公司因購買原料已開立未使用之信用狀餘額如下：

| 公司名稱 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|---|---|---|---|
| 本 公 司 | $285,306 | $437,292 | $208,747 |
| 和平電力公司 | 2,874,064 | 635,545 | 2,022,348 |
| 臺泥循環能源公司 | 1,582,443 | 40,867 | 35,606 |
| 光和耐火公司 | - | 13,766 | 18,505 |
```
