```markdown
# 臺灣電信股份有限公司及其子公司

## 合併財務報表

### 民國 110 年 12 月 31 日及民國 110 年 3 月 31 日

| 代碼 | 資產 | 金額 | % | 金額 | % |
|------|------|------|---|------|---|
| 1100 | 現金及約當現金（附註六） | $46,500,497 | 8 | $39,778,624 | 6 |
| 1110 | 透支損益按公允價值衡量之金融資產（附註七） | 3,450 | - | 2,566 | - |
| 1139 | 避險之金融資產（附註二十） | 8,055 | - | - | - |
| 1140 | 合約資產（附註三十） | 5,539,500 | 1 | 5,554,070 | 1 |
| 1170 | 應收票據及帳款淨額（附註九及三十） | 21,069,743 | 4 | 23,947,107 | 5 |
| 1180 | 應收關係人款項（附註三八） | 59,645 | - | 41,528 | - |
| 130X | 存貨（附註十及三九） | 12,512,537 | 2 | 11,327,409 | 2 |
| 1410 | 預付款項（附註十一） | 5,287,217 | 1 | 2,330,097 | - |
| 1476 | 其他金融資產（附註十二及三五） | 6,738,881 | 1 | 5,060,878 | 1 |
| 1479 | 其他流動資產（附註十九及三九） | 3,352,163 | 1 | 2,978,780 | 1 |
| 11XX | 流動資產總計 | 101,065,408 | 18 | 91,021,059 | 17 |

### 非流動資產

| 代碼 | 資產 | 金額 | % | 金額 | % |
|------|------|------|---|------|---|
| 1510 | 透支損益按公允價值衡量之金融資產（附註七） | 9,793,814 | - | 908,775 | - |
| 1517 | 透支其他綜合損益按公允價值衡量之金融資產（附註七） | 9,574,284 | 2 | 3,615,888 | 1 |
| 1550 | 採用權益法之投資（附註十四） | 7,463,988 | 2 | 7,332,774 | 2 |
| 1560 | 合約資產（附註三十） | 2,756,204 | 1 | 2,607,744 | - |
| 1600 | 不動產、廠房及設備（附註十五、三五、三八及三九） | 285,930,724 | 54 | 289,100,461 | 56 |
| 1755 | 使用權資產（附註十六及三八） | 10,744,006 | 2 | 11,050,936 | 2 |
| 1760 | 投資性不動產（附註十七） | 9,652,091 | 2 | 9,662,638 | 2 |
| 1780 | 無形資產（附註十八及三八） | 82,328,310 | 16 | 83,945,083 | 16 |
| 1840 | 遞延所得稅資產（附註三） | 2,760,894 | 1 | 2,785,006 | 1 |
| 1955 | 取得合約之增額成本（附註三十） | 967,462 | - | 987,656 | - |
| 1975 | 淨確定福利資產（附註三） | 3,581,626 | 1 | 3,391,077 | 1 |
| 1985 | 預付款項（附註十一） | 1,820,461 | - | 1,798,463 | - |
| 1990 | 其他非流動資產（附註十九、三九及四十） | 4,923,591 | 1 | 4,862,800 | 1 |
| 15XX | 非流動資產總計 | 417,309,585 | 81 | 422,049,301 | 82 |
| 1XXX | 資產總計 | $ 518,374,993 | 100 | $ 513,070,360 | 100 | $ 506,501,196 | 100 |

### 流動負債

| 代碼 | 負債及權益 | 金額 | % | 金額 | % |
|------|------------|------|---|------|---|
| 2100 | 短期借款（附註二一） | $65,000 | - | $65,000 | - |
| 2110 | 應付短期票券（附註二二） | - | - | - | - |
| 2120 | 透支損益按公允價值衡量之金融負債（附註七） | - | - | 6,180 | - |
| 2126 | 避險之金融負債（附註二十） | - | - | 8,286 | - |
| 2130 | 合約負債（附註三十及三八） | 12,701,430 | 3 | 12,234,276 | 2 |
| 2170 | 應付票據及帳款（附註二五） | 11,823,029 | 2 | 18,063,288 | 4 |
| 2180 | 應付關係人款項（附註三八） | 214,092 | - | 391,358 | - |
| 2230 | 本期所得稅負債（附註三） | 6,830,152 | 1 | 4,593,458 | 1 |
| 2280 | 租賃負債（附註十六、三五及三八） | 2,994,856 | 1 | 3,210,564 | 1 |
| 2200 | 其他應付款（附註二六及三五） | 21,665,000 | 4 | 24,436,708 | 5 |
| 2225 | 負債準備（附註二七） | 251,488 | - | 284,813 | - |
| 2322 | 一年內到期之長期借款（附註二三及三九） | - | - | - | - |
| 2399 | 其他流動負債 | 1,026,505 | - | 998,367 | - |
| 21XX | 流動負債總計 | 57,
