```json
{
  "公司名稱": "國泰證券股份有限公司",
  "報告日期": "民國 112 年 3 月 31 日",
  "報告類型": "合併財務報表",
  "報告期間": "111年12月31日及3月31日",
  "單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31日",
  "報表單位": "新臺幣千元",
  "報表類型": "合併財務報表",
  "報表日期": "民國 112 年 3 月 31 日",
  "報表期間": "111年12月31日及3月31
