2. 子公司發行特別股

本集團之子公司和潤企業於民國 111 年 9 月 21 日現金增資發行甲種特別股，本集團放棄認購，並由該子公司洽特定人認購之。該交易增加非控制權益$5,000,000。

(三十七)來自籌資活動之負債之變動

111年

|  | 短期借款 | 應付短期票券 | 應付到期長期負債 | 長期借款 |
| --- | --- | --- | --- | --- |
| 1月1日 | $66,766,240 | $104,861,342 | $13,579,045 | $4,736,583 |
| 繳資現金流量之變動 | 34,028,891 | (7,909,068) | 10,000,000 | (41,180) |
| 匯率變動之影響 | 205,474 | - | 19,177 | - |
| 其他非現金之變動 | (444,651) | - | 1,198,699 | (1,198,699) |
| 9月30日 | $100,555,954 | $96,952,274 | $24,796,921 | $3,496,704 |

111年

|  | 存入保證金 | 租賃負債 | 應付股利 | 之負債總額 |
| --- | --- | --- | --- | --- |
| 1月1日 | $15,495,163 | $2,125,133 | $7,159 | $207,570,665 |
| 繳資現金流量之變動 | 998,852 | (358,067) | (10,923,584) | 25,795,844 |
| 匯率變動之影響 | - | 25,510 | - | 250,161 |
| 其他非現金之變動 | - | 299,374 | 10,926,015 | 10,780,738 |
| 9月30日 | $16,494,015 | $2,091,950 | $9,590 | $244,397,408 |

110年

|  | 短期借款 | 應付短期票券 | 應付到期長期負債 | 長期借款 |
| --- | --- | --- | --- | --- |
| 1月1日 | $48,292,510 | $84,021,875 | $12,249,530 | $3,136,165 |
| 繳資現金流量之變動 | 11,334,494 | 15,214,099 | 2,800,000 | 42,285 |
| 匯率變動之影響 | (8,376) | - | (2,715) | - |
| 其他非現金之變動 | 157,516 | - | (1,034,075) | 1,034,075 |
| 9月30日 | $59,776,144 | $99,235,974 | $14,012,740 | $4,212,525 |

110年

|  | 存入保證金 | 租賃負債 | 應付股利 | 之負債總額 |
| --- | --- | --- | --- | --- |
| 1月1日 | $13,646,358 | $1,767,701 | $7,212 | $163,121,351 |
| 繳資現金流量之變動 | 1,201,283 | (433,713) | (9,285,046) | 20,873,402 |
| 匯率變動之影響 | - | (13,487) | - | (24,578) |
| 其他非現金之變動 | - | 731,017 | 9,284,997 | 10,173,530 |
| 9月30日 | $14,847,641 | $2,051,518 | $7,163 | $194,143,705 |
