### 112年3月31日（經核閱） 111年12月31日（經核閱） 111年3月31日（經核閱）

#### 流動資產

| 代碼 | 資產 | 金額 | % | 金額 | % | 金額 | % |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 1100 | 現金及約當現金（附註六） | $46,866,082 | 16 | $39,420,666 | 14 | $42,892,859 | 17 |
| 1110 | 透過損益按公允價值衡量之金融資產－流動（附註七） | 2,116,460 | 1 | 4,545,168 | 1 | 3,853,705 | 2 |
| 1136 | 按攤銷後成本衡量之金融資產－流動（附註九） | 16,165,394 | 6 | 13,157,089 | 5 | 7,504,890 | 3 |
| 1139 | 避除之金融資產－流動（附註十） | 341,767 | - | 161,905 | - | 88,707 | - |
| 1150 | 應收票據淨額（附註十一） | 138,338 | - | 116,684 | - | 244,636 | - |
| 1170 | 應收帳款淨額（附註十一、三二及三三） | 20,121,329 | 7 | 22,146,434 | 8 | 23,815,597 | 9 |
| 1200 | 其他應收款（附註三二） | 1,821,194 | 1 | 2,252,805 | 1 | 983,822 | - |
| 130X | 存貨（附註十二及三三） | 25,295,012 | 9 | 26,944,816 | 10 | 26,122,761 | 10 |
| 1410 | 預付款項 | 2,776,362 | 1 | 1,951,980 | 1 | 2,124,500 | 1 |
| 1470 | 其他流動資產 | 690,229 | - | 1,007,044 | - | 1,029,741 | 1 |
| 11XX | 流動資產總計 | 116,332,167 | 41 | 111,704,591 | 40 | 108,661,218 | 43 |

#### 非流動資產

| 代碼 | 資產 | 金額 | % | 金額 | % | 金額 | % |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 1510 | 透過損益按公允價值衡量之金融資產－非流動（附註七） | 1,291,155 | 1 | 1,331,226 | 1 | 1,264,119 | - |
| 1517 | 透過其他綜合損益按公允價值衡量之金融資產－非流動（附註八） | 855,298 | - | 812,139 | - | 780,487 | - |
| 1535 | 按攤銷後成本衡量之金融資產－非流動（附註九） | 20,745,453 | 7 | 20,400,172 | 7 | 13,743,676 | 5 |
| 1538 | 避除之金融資產－非流動（附註十） | 779,838 | - | 831,882 | - | 556,475 | - |
| 1550 | 採用權益法之投資（附註十四） | 3,343,831 | 1 | 3,395,606 | 1 | 1,599,955 | 1 |
| 1600 | 不動產、廠房及設備（附註十五及三三） | 62,961,506 | 22 | 59,871,278 | 22 | 53,400,974 | 21 |
| 1755 | 使用權資產 | 1,246,202 | 1 | 1,263,123 | 1 | 1,326,508 | 1 |
| 1760 | 投資性不動產（附註十六及三三） | 36,734 | - | 36,936 | - | 136,097 | - |
| 1805 | 商譽（附註十七） | 47,567,155 | 17 | 47,848,779 | 17 | 45,302,477 | 18 |
| 1821 | 其他無形資產淨額（附註十八） | 24,061,973 | 8 | 24,331,270 | 9 | 22,900,643 | 9 |
| 1840 | 遞延所得稅資產（附註二十五） | 3,500,681 | 1 | 3,567,488 | 1 | 4,552,059 | 2 |
| 1920 | 存出保證金 | 224,862 | - | 221,940 | - | 212,426 | - |
| 1990 | 其他非流動資產 | 3,301,600 | 1 | 1,569,119 | 1 | 728,143 | - |
| 15XX | 非流動資產總計 | 169,916,288 | 59 | 165,480,958 | 60 | 146,504,039 | 57 |
| 1XXX | 資產總計 | $286,248,455 | 100 | $277,185,549 | 100 | $255,165,257 | 100 |

#### 負債及權益

| 代碼 | 負債及權益 | 金額 | % | 金額 | % | 金額 | % |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 2100 | 短期借款（附註十九及三三） | $11,028,704 | 4 | $12,492,638 | 5 | $18,320,812 | 7 |
| 2110 | 應付短期票券（附註十九） | 35,385,619 | 12 | 28,075,967 | 10 | 20,073,116 | 8 |
| 2120 | 透過損益按公允價值衡量之金融負債－流動（附註七） | 128,741 | - | 210,354 | - | 95,210 | - |
| 2150 | 應付票據 | 
