### 财务报告

#### 保固成本：
| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|----------------------|----------------------|
| - 關聯企業 | | |
| 中部 | $93,703 | $79,545 |
| 國都 | $89,484 | $83,045 |
| 桃苗 | $83,875 | $71,388 |
| 高都 | $61,215 | $47,550 |
| 北都 | $58,081 | $47,518 |
| 其他 | $63,682 | $61,068 |
| - 主要管理階層控制之個體 | | |
| | $1,362 | $493 |
| 总计 | $451,402 | $390,607 |

#### 运费：
| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|----------------------|----------------------|
| - 關聯企業 | | |
| 泛台 | $53,681 | $43,088 |
| 益台 | $47,749 | $45,213 |
| 其他 | $801 | $612 |
| 总计 | $102,231 | $88,913 |

#### 运费：
| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|----------------------|----------------------|
| - 關聯企業 | | |
| 泛台 | $155,740 | $129,013 |
| 益台 | $149,914 | $124,212 |
| 其他 | $2,110 | $1,919 |
| 总计 | $307,764 | $255,144 |

#### 佣金费用：
| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|----------------------|----------------------|
| - 主要管理階層控制之個體 | | |
| 和安 | $331,499 | $278,312 |
| 总计 | $956,085 | $785,234 |

### Markdown表格格式

| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|----------------------|----------------------|
| 保固成本： | | |
| - 關聯企業 | | |
| 中部 | $93,703 | $79,545 |
| 國都 | $89,484 | $83,045 |
| 桃苗 | $83,875 | $71,388 |
| 高都 | $61,215 | $47,550 |
| 北都 | $58,081 | $47,518 |
| 其他 | $63,682 | $61,068 |
| - 主要管理階層控制之個體 | | |
| | $1,362 | $493 |
| 总计 | $451,402 | $390,607 |

| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|----------------------|----------------------|
| 运费： | | |
| - 關聯企業 | | |
| 泛台 | $53,681 | $43,088 |
| 益台 | $47,749 | $45,213 |
| 其他 | $801 | $612 |
| 总计 | $102,231 | $88,913 |

| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|----------------------|----------------------|
| 运费： | | |
| - 關聯企業 | | |
| 泛台 | $155,740 | $129,013 |
| 益台 | $149,914 | $124,212 |
| 其他 | $2,110 | $1,919 |
| 总计 | $307,764 | $255,144 |

| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|----------------------|----------------------|
| 佣金费用： | | |
| - 主要管理階層控制之個體 | | |
| 和安 | $331,499 | $278,312 |
| 总计 | $956,085 | $785,234 |
