以下是根据提供的PDF财务报告图像提取的文本和表格信息：

### 文本内容
(5) 本期合并子公司其资产、负债帐列价值如下：

### 表格数据
| 项目 | 长荣保全 | EGJ | 小计 |
|------|----------|----|-----|
| 现金及约当现金 | $ 249,105 | $ 249,061 | $ 498,166 |
| 透过损益按公允价值衡量 | - | 14 | 14 |
| 按摊销后成本衡量之金 | - | - | - |
| 融资资产-流动 | 186,010 | - | 186,010 |
| 应收票据净额 | 2,195 | - | 2,195 |
| 应收帐款净额(含关系人) | 86,409 | 1,002,862 | 1,089,271 |
| 其他应收款 | 853 | 6,236 | 7,089 |
| 预付款项 | 35,254 | 1,414 | 36,668 |
| 其他流动资产 | 25 | 77,459 | 77,484 |
| 不动产、厂房及设备 | 8,095 | 954,646 | 962,741 |
| 使用权资产 | 48,006 | 15,541 | 63,547 |
| 投资性不动产净额 | - | 770,652 | 770,652 |
| 现金及约当现金 | 121,680 | 45,368 | 167,048 |
| 现金及约当现金 | 1,116 | 7,662 | 8,778 |
| 预付款项 | 21,577 | 7,556 | 29,133 |
| 短期借款 | - | (649,082) | (649,082) |
| 应付帐款(含关系人) | (20,555) | (599,822) | (620,377) |
| 其他应付款(含关系人) | (51,027) | (125,960) | (176,987) |
| 本期所得税负债 | (6,889) | (42,579) | (49,468) |
| 其他流动负债 | (47,795) | (832,720) | (880,515) |
| 租赁负债-流动 | (18,893) | (4,560) | (23,453) |
| 预提所得税负债 | (23,737) | (128,321) | (152,058) |
| 租赁负债-非流动 | (29,293) | (10,982) | (40,275) |
| 其他非流动负债 | (95,818) | (310,985) | (406,803) |
| 商誉(商誉购买利益) | 45,975 | (3,863) | 42,112 |
| 总计 | $ 512,293 | $ 429,597 | $ 941,890 |
| 取得子公司价款 | $ 192,038 | $ 429,597 | $ 621,635 |
| 现金及约当现金 | (249,105) | (249,061) | (498,166) |
| 收购子公司净现金(收取) | - | - | - |
| 支付数 | (57,067) | $ 180,536 | $ 123,469 |

### Markdown表格格式
```markdown
| 项目 | 长荣保全 | EGJ | 小计 |
|------|----------|----|-----|
| 现金及约当现金 | $ 249,105 | $ 249,061 | $ 498,166 |
| 透过损益按公允价值衡量 | - | 14 | 14 |
| 按摊销后成本衡量之金 | - | - | - |
| 融资资产-流动 | 186,010 | - | 186,010 |
| 应收票据净额 | 2,195 | - | 2,195 |
| 应收帐款净额(含关系人) | 86,409 | 1,002,862 | 1,089,271 |
| 其他应收款 | 853 | 6,236 | 7,089 |
| 预付款项 | 35,254 | 1,414 | 36,668 |
| 其他流动资产 | 25 | 77,459 | 77,484 |
| 不动产、厂房及设备 | 8,095 | 954,646 | 962,741 |
| 使用权资产 | 48,006 | 15,541 | 63,547 |
| 投资性不动产净额 | - | 770,652 | 770,652 |
| 现金及约当现金 | 121,680 | 45,368 | 167,048 |
| 现金及约当现金 | 1,116 | 7,662 | 8,778 |
| 预付款项 | 21,577 | 7,556 | 29,133 |
| 短期借款 | - | (649,082) | (649,082) |
| 应付帐款(含关系人) | (20,555) | (599,822) | (620,377) |
| 其他应付款(含关系人) | (51,027) | (125,960) | (176,987) |
| 本期所得税负债 | (6,889) | (42,579) | (49,468) |
| 其他流动负债 | (47,795) | (832,720) | (880,515) |
| 租赁负债-流动 | (18,893) | (4,560) | (23,453) |
| 预提所得税负债 | (23,737) | (128,321) | (152,058) |
| 租赁负债-非流动 | (29,293) | (10,982) | (40,275) |
| 其他非流动负债 | (95,818) | (310,985) | (406,803) |
| 商誉(商誉购买利益) | 45,975 | (3,863) | 42,112 |
| 总计 | $ 512,293 | $ 429,597 | $ 941,890 |
| 取得子公司价款 | $ 192,038 | $ 429,597 | $ 621,635 |
| 现金及约当现金 | (249,105) | (249,061) | (498,166) |
| 收购子公司净现金(收取) | - | - | - |
| 支付数 | (57,067) | $ 180,536 | $ 123,469 |
```

请注意，上述
