### 财务报告

#### (3) 其他收入

| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|---------------------|---------------------|
| 利息收入 | $108 | $- |
| 關聯企業 | $108 | $- |

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|---------------------|---------------------|
| 租金收入 | $358 | $358 |
| 其他關係人 | $358 | $358 |

| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|---------------------|---------------------|
| 租金收入 | $1,074 | $1,074 |
| 其他關係人 | $1,074 | $1,074 |

| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|---------------------|---------------------|
| 租金收入 | $30 | $571 |
| 關聯企業 | $30 | $571 |
| 其他關係人 | $7,078 | $2,777 |
| 其他收入 | $7,108 | $3,348 |

#### (四) 主要管理階層薪酬資訊

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|---------------------|---------------------|
| 短期員工福利 | $9,330 | $9,275 |
| 退職後福利 | $90 | $36 |
| 股份基礎給付 | $3,798 | $6,966 |
| 总计 | $13,218 | $16,277 |

| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|---------------------|---------------------|
| 短期員工福利 | $27,990 | $27,825 |
| 退職後福利 | $269 | $107 |
| 股份基礎給付 | $15,771 | $26,058 |
| 总计 | $44,030 | $53,990 |

#### 董事及其他主要管理階層之薪酬係由薪酬委員會依照個人績效及市場趨勢決定。
