### 营业收入

#### 1. 客户合约收入之细分

| 项目 | 111年 | 7至9月 | 110年 | 7至9月 |
|------|-------|--------|-------|--------|
| 食品及食糖事业部 | 49,239,951 | 46,097,901 | 43,474,414 | 39,472,556 |
| 便利商店事业部 | 201,568 | 234,293 | 161,491 | 194,416 |
| 流通及物流事业部 | 4,206,936 | 21,404,571 | 4,280,726 | 4,956,576 |
| 包装容器事业部 | 7,398,010 | 17,185,616 | 8,168,328 | 14,365,444 |
| 其他 | - | - | - | - |
| 合计 | 56,441,519 | 54,632,194 | 58,635,905 | 63,666,972 |

#### 2. 客户合约收入之细分

| 项目 | 111年 | 7至9月 | 110年 | 7至9月 |
|------|-------|--------|-------|--------|
| 食品及食糖事业部 | 49,239,951 | 46,097,901 | 43,474,414 | 39,472,556 |
| 便利商店事业部 | 201,568 | 234,293 | 161,491 | 194,416 |
| 流通及物流事业部 | 4,206,936 | 21,404,571 | 4,280,726 | 4,956,576 |
| 包装容器事业部 | 7,398,010 | 17,185,616 | 8,168,328 | 14,365,444 |
| 其他 | - | - | - | - |
| 合计 | 56,441,519 | 54,632,194 | 58,635,905 | 63,666,972 |

#### 3. 客户合约收入之细分

| 项目 | 111年 | 7至9月 | 110年 | 7至9月 |
|------|-------|--------|-------|--------|
| 食品及食糖事业部 | 49,239,951 | 46,097,901 | 43,474,414 | 39,472,556 |
| 便利商店事业部 | 201,568 | 234,293 | 161,491 | 194,416 |
| 流通及物流事业部 | 4,206,936 | 21,404,571 | 4,280,726 | 4,956,576 |
| 包装容器事业部 | 7,398,010 | 17,185,616 | 8,168,328 | 14,365,444 |
| 其他 | - | - | - | - |
| 合计 | 56,441,519 | 54,632,194 | 58,635,905 | 63,666,972 |

#### 4. 客户合约收入之细分

| 项目 | 111年 | 7至9月 | 110年 | 7至9月 |
|------|-------|--------|-------|--------|
| 食品及食糖事业部 | 49,239,951 | 46,097,901 | 43,474,414 | 39,472,556 |
| 便利商店事业部 | 201,568 | 234,293 | 161,491 | 194,416 |
| 流通及物流事业部 | 4,206,936 | 21,404,571 | 4,280,726 | 4,956,576 |
| 包装容器事业部 | 7,398,010 | 17,185,616 | 8,168,328 | 14,365,444 |
| 其他 | - | - | - | - |
| 合计 | 56,441,519 | 54,632,194 | 58,635,905 | 63,666,972 |

#### 5. 客户合约收入之细分

| 项目 | 111年 | 7至9月 | 110年 | 7至9月 |
|------|-------|--------|-------|--------|
| 食品及食糖事业部 | 49,239,951 | 46,097,901 | 43,474,414 | 39,472,556 |
| 便利商店事业部 | 201,568 | 234,293 | 161,491 | 194,416 |
| 流通及物流事业部 | 4,206,936 | 21,404,571 | 4,280,726 | 4,956,576 |
| 包装容器事业部 | 7,398,010 | 17,185,616 | 8,168,328 | 14,365,444 |
| 其他 | - | - | - | - |
| 合计 | 56,441,519 | 54,632,194 | 58,635,905 | 63,666,972 |

#### 6. 客户合约收入之细分

| 项目 | 111年 | 7至9月 | 110年 | 7至9月 |
|------|-------|--------|-------|--------|
| 食品及食糖事业部 | 49,239,951 | 46,097,901 | 43,474,414 | 39,472,556 |
| 便利商店事业部 | 201,568 | 234,293 | 161,491 | 194,416 |
| 流通及物流事业部 | 4,206,936 | 21,404,571 | 4,280,726 | 4,956,576 |
| 包装容器事业部 | 7,398,010 | 17,185,616 | 8,168,328 | 14,365,444 |
| 其他 | - | - | - | - |
| 合计 | 56,441,519 | 54,632,194 | 58,635,905 | 63,666,972 |

#### 7. 客户合约收入之细分

| 项目 | 111年 | 7至9月 | 110年 | 7至9月 |
|------|-------|--------|-------|--------|
| 食品及食糖事业部 | 49,239,951 | 46,097,901 | 43,474,414 | 39,47
