### 财务报告文本输出

#### 110年度盈余指拨及分配（附注二十三）

#### 111年1月1日至9月30日

| 项目 | 111年1月1日 | 111年9月30日 |
|------|--------------|---------------|
| 法定盈余公積 | $ 157,348,610 | $ 382,680 |
| 特別盈余公積 | $ 39,238,636 | $ 66,611,343 |
| 資本公積 | $ 27,639,574 | $ 70,863,295 |
| 法定盈餘公積 | $ 9,167,082 | $ 951,977 |
| 特別盈餘公積 | $ 3,809,153 | $ (4,405,952) |
| 資本公積 | $ (8,649,421) | $ 349,028,765 |
| 合計 | $ 37,926,255 | $ 386,955,020 |

#### 112年1月1日至9月30日

| 项目 | 112年1月1日 | 112年9月30日 |
|------|--------------|---------------|
| 法定盈余公積 | $ 157,348,610 | $ 382,680 |
| 特別盈余公積 | $ 40,275,115 | $ 40,282,224 |
| 資本公積 | $ 72,765,975 | $ 72,765,975 |
| 法定盈餘公積 | $ 26,915,002 | $ 26,915,002 |
| 特別盈餘公積 | $ 35,708,731 | $ 35,708,731 |
| 資本公積 | $ (6,308,766) | $ (6,308,766) |
| 合計 | $ 319,902,227 | $ 356,845,444 |

### 财务报告表格输出

#### 110年度盈余指拨及分配（附注二十三）

| 项目 | 111年1月1日 | 111年9月30日 |
|------|--------------|---------------|
| 法定盈余公積 | $ 157,348,610 | $ 382,680 |
| 特別盈余公積 | $ 39,238,636 | $ 66,611,343 |
| 資本公積 | $ 27,639,574 | $ 70,863,295 |
| 法定盈餘公積 | $ 9,167,082 | $ 951,977 |
| 特別盈餘公積 | $ 3,809,153 | $ (4,405,952) |
| 資本公積 | $ (8,649,421) | $ 349,028,765 |
| 合計 | $ 37,926,255 | $ 386,955,020 |

#### 112年1月1日至9月30日

| 项目 | 112年1月1日 | 112年9月30日 |
|------|--------------|---------------|
| 法定盈余公積 | $ 157,348,610 | $ 382,680 |
| 特別盈余公積 | $ 40,275,115 | $ 40,282,224 |
| 資本公積 | $ 72,765,975 | $ 72,765,975 |
| 法定盈餘公積 | $ 26,915,002 | $ 26,915,002 |
| 特別盈餘公積 | $ 35,708,731 | $ 35,708,731 |
| 資本公積 | $ (6,308,766) | $ (6,308,766) |
| 合計 | $ 319,902,227 | $ 356,845,444 |

### 财务报告表格输出（总计）

| 项目 | 111年1月1日 | 111年9月30日 |
|------|--------------|---------------|
| 法定盈余公積 | $ 157,348,610 | $ 382,680 |
| 特別盈余公積 | $ 39,238,636 | $ 66,611,343 |
| 資本公積 | $ 27,639,574 | $ 70,863,295 |
| 法定盈餘公積 | $ 9,167,082 | $ 951,977 |
| 特別盈餘公積 | $ 3,809,153 | $ (4,405,952) |
| 資本公積 | $ (8,649,421) | $ 349,028,765 |
| 合計 | $ 37,926,255 | $ 386,955,020 |

#### 112年1月1日至9月30日

| 项目 | 112年1月1日 | 112年9月30日 |
|------|--------------|---------------|
| 法定盈余公積 | $ 157,348,610 | $ 382,680 |
| 特別盈余公積 | $ 40,275,115 | $ 40,282,224 |
| 資本公積 | $ 72,765,975 | $ 72,765,975 |
| 法定盈餘公積 | $ 26,915,002 | $ 26,915,002 |
| 特別盈餘公積 | $ 35,708,731 | $ 35,708,731 |
| 資本公積 | $ (6,308,766) | $ (6,308,766) |
| 合計 | $ 319,902,227 | $ 356,845,444 |
