### 财务报告

#### (二十六)所得税

1. **所得税费用**

   **(1)所得税费用组成部分：**

   | 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
   |------|----------------------|----------------------|
   | 当期所得税： | $129,010 | $950,613 |
   | 当期所得税产生之所得税 | | |
   | 以前年度所得税 | | |
   | (高)低估 | (444) | 12,214 |
   | 当期所得税总额 | 128,566 | 962,827 |
   | 遞延所得税： | | |
   | 暫時性差異之原始產生及迴轉 | (97,336) | 235,263 |
   | 匯率影響數 | 594 | (1,210) |
   | 遞延所得税總額 | (96,742) | 234,053 |
   | 所得税費用 | $31,824 | $1,196,880 |

   **(2)与其他综合损益相关之所得税金额：**

   | 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
   |------|----------------------|----------------------|
   | 國外營運機構換算差額 | ($58,215) | ($596,848) |

2. **本公司营利事业所得税业经税捐稽徵机关核定至民国109年度。**

---

### Markdown表格格式

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| 当期所得税： | $129,010 | $950,613 |
| 当期所得税产生之所得税 | | |
| 以前年度所得税 | | |
| (高)低估 | (444) | 12,214 |
| 当期所得税总额 | 128,566 | 962,827 |
| 遞延所得税： | | |
| 暫時性差異之原始產生及迴轉 | (97,336) | 235,263 |
| 匯率影響數 | 594 | (1,210) |
| 遞延所得税總額 | (96,742) | 234,053 |
| 所得税費用 | $31,824 | $1,196,880 |

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| 國外營運機構換算差額 | ($58,215) | ($596,848) |
