### (八) 不動産、廠房及設備

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 土地及土地改良物 | $ 12,004,943 | $ 12,171,727 | $ 12,074,497 |
| 房屋及建築 | $ 19,797,476 | $ 51,091,608 | $ 50,808,523 |
| 機器設備 | $ 70,925,730 | $ 323,271,748 | $ 321,597,950 |
| 運輸設備及其他設備 | $ 2,192,255 | $ 12,338,326 | $ 12,234,305 |
| 未完工程及待驗設備 | $ 39,991,246 | $ 39,991,246 | $ 36,911,841 |
| 合計 | $ 144,911,650 | $ 438,864,655 | $ 433,627,116 |

| 项目 | 112年1月1日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 土地及土地改良物 | $ 11,907,770 | $ 12,004,943 | $ 12,074,497 |
| 房屋及建築 | $ 19,941,435 | $ 50,808,523 | $ 50,808,523 |
| 機器設備 | $ 71,904,413 | $ 321,597,950 | $ 321,597,950 |
| 運輸設備及其他設備 | $ 2,183,482 | $ 12,234,305 | $ 12,234,305 |
| 未完工程及待驗設備 | $ 36,911,841 | $ 36,911,841 | $ 36,911,841 |
| 合計 | $ 142,848,941 | $ 433,627,116 | $ 433,627,116 |

### 文本输出

(八) 不動産、廠房及設備

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 土地及土地改良物 | $ 12,004,943 | $ 12,171,727 | $ 12,074,497 |
| 房屋及建築 | $ 19,797,476 | $ 51,091,608 | $ 50,808,523 |
| 機器設備 | $ 70,925,730 | $ 323,271,748 | $ 321,597,950 |
| 運輸設備及其他設備 | $ 2,192,255 | $ 12,338,326 | $ 12,234,305 |
| 未完工程及待驗設備 | $ 39,991,246 | $ 39,991,246 | $ 36,911,841 |
| 合計 | $ 144,911,650 | $ 438,864,655 | $ 433,627,116 |

| 项目 | 112年1月1日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 土地及土地改良物 | $ 11,907,770 | $ 12,004,943 | $ 12,074,497 |
| 房屋及建築 | $ 19,941,435 | $ 50,808,523 | $ 50,808,523 |
| 機器設備 | $ 71,904,413 | $ 321,597,950 | $ 321,597,950 |
| 運輸設備及其他設備 | $ 2,183,482 | $ 12,234,305 | $ 12,234,305 |
| 未完工程及待驗設備 | $ 36,911,841 | $ 36,911,841 | $ 36,911,841 |
| 合計 | $ 142,848,941 | $ 433,627,116 | $ 433,627,116 |
