### 财务报告

#### 台湾化学纤维股份有限公司及子公司

#### 合并资产负债表

#### 民国112年9月30日及民国111年12月31日、9月30日、1月1日

单位：新台币仟元

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 | 111年1月1日 |
|------|--------------|---------------|--------------|--------------|
| 流动资产 | | | | |
| 1100 现金及约当现金 | $ 29,124,299 | $ 33,002,871 | $ 44,429,579 | $ 23,062,097 |
| 1110 透过损益按公允价值衡量之金融资产－流动 | 1,699,861 | - | 1,713,741 | - |
| 1120 透过其他综合损益按公允价值衡量之金融资产－流动 | 91,535,106 | 92,125,314 | 89,544,208 | 116,451,723 |
| 1136 按摊销后成本衡量之金融资产－流动 | 3,314,797 | 4,565,618 | 70,505 | 1,953,235 |
| 1150 应收票据净额 | 7,462,007 | 6,550,164 | 6,645,665 | 8,173,238 |
| 1160 应收票据－关系人净额 | 22,442 | - | 11,062 | - |
| 1170 应收帐款净额 | 15,637,673 | 16,355,474 | 17,715,186 | 20,204,508 |
| 1180 应收帐款－关系人净额 | 7,671,673 | 7,145,791 | 7,826,842 | 8,719,009 |
| 1200 其他应收款 | 3,952,232 | 4,483,253 | 3,935,037 | 2,742,096 |
| 1210 其他应收款－关系人 | 688,539 | 2,429,252 | 3,781,127 | 2,698,693 |
| 130X 存货 | 44,599,854 | 48,437,390 | 53,708,674 | 47,200,475 |
| 1470 其他流动资产 | 11,272,897 | 7,813,014 | 10,087,133 | 11,513,548 |
| 流动资产合计 | 216,981,380 | 224,713,550 | 239,468,759 | 246,631,027 |
| 非流动资产 | | | | |
| 1517 透过其他综合损益按公允价值衡量之金融资产－非流动 | 54,245,085 | 51,954,437 | 60,865,103 | 72,999,266 |
| 1535 按摊销后成本衡量之金融资产－非流动 | 3,223,896 | 2,250,169 | 46,210 | 2,390,179 |
| 1550 採用權益法之投資 | 126,011,916 | 117,661,397 | 122,225,794 | 129,632,702 |
| 1600 不動產、廠房及設備 | 150,113,509 | 142,861,143 | 142,607,851 | 130,897,801 |
| 1755 使用權資產 | 1,581,801 | 1,650,577 | 1,711,259 | 1,577,555 |
| 1780 無形資產 | 346,689 | 340,914 | 341,185 | 5,884 |
| 1840 遞延所得稅資產 | 2,259,494 | 2,139,083 | 1,313,633 | 2,240,322 |
| 1900 其他非流动資產 | 10,015,688 | 11,975,026 | 12,007,080 | 11,970,535 |
| 非流动资产合计 | 347,798,078 | 330,832,746 | 341,118,115 | 351,714,244 |
| 資產總計 | $ 564,779,458 | $ 555,546,296 | $ 580,586,874 | $ 598,345,271 |
| 負債及權益 | | | | |
| 2100 短期借款 | $ 42,442,729 | $ 35,117,887 | $ 41,779,034 | $ 17,512,874 |
| 2110 應付短期票券 | 25,247,936 | 32,892,666 | 27,433,572 | 17,796,625 |
| 2120 透過損益按公允價值衡量之金融負債－流動 | - | - | - | - |
| 2150 應付票據 | 156,778 | 164,722 | 175,379 | 246,102 |
| 2170 應付帳款 | 6,208,634 | 4,801,464 | 6,345,438 | 3,888,771 |
| 2180 應付帳款－關係人 | 12,165,083 | 13,884,528 | 14,786,891 | 17,527,128 |
| 2200 其他應付款 | 10,754,243 | 12,432,106 | 12,892,386 | 12,762,681 |
| 2220 其他應付款項－關係人 | 1,528,054 | 1,472,658 | 1,502,246 | 542,013 |
| 2230 本期所得稅負債 | 308,282 | 903,787 | 1,276,288 | 5,732,381 |

#### （续次页）

---

### 财务报告

#### 台湾化学纤维股份
