### (二)部门资讯

提供予主要營運決策者之應報導部門資訊如下：

民國 111 年 1 月 1 日至 9 月 30 日：

| 项目 | 運輸部門 | 其他部門 | 調整及沖銷 | 總計 |
|------|----------|----------|----------|------|
| 外部收入 | $ 515,439,806 | $ 817,427 | $ - | $ 516,257,233 |
| 內部部門收入 | 67,773,553 | - | (67,773,553) | - |
| 部門收入 | 583,213,359 | 817,427 | (67,773,553) | 516,257,233 |
| 利息收入 | 2,900,131 | 44,615 | - | 2,944,746 |
| 利息費用 | (2,330,523) | (4,632) | - | (2,335,155) |
| 折舊及攤銷 | (20,056,140) | (240,304) | - | (20,296,444) |
| 採用權益法認列之關聯 | 2,501,686 | 6,479,223 | - | 8,980,909 |
| 企業及合資損益之份額 | (142,942,111) | (1,654,995) | - | (144,597,106) |
| 其他項目 |  |  |  |  |
| 部門損益 | $ 423,286,402 | $ 5,441,334 | ($67,773,553) | $360,954,183 |
| 可辨認資產 | $ 825,871,743 | $ 12,715,864 | $ - | $838,587,607 |
| 採用權益法之投資 | 27,644,946 | 15,340,135 | - | 42,985,081 |
| 部門資產 | $ 853,516,689 | $ 28,055,999 | $ - | $881,572,688 |
| 部門負債 | $ 305,529,021 | $ 1,549,982 | $ - | $307,079,003 |

民國 110 年 1 月 1 日至 9 月 30 日：

| 项目 | 運輸部門 | 其他部門 | 調整及沖銷 | 總計 |
|------|----------|----------|----------|------|
| 外部收入 | $ 332,503,566 | $ 897,614 | $ - | $ 333,401,180 |
| 內部部門收入 | 32,698,007 | - | (32,698,007) | - |
| 部門收入 | 365,201,573 | 897,614 | (32,698,007) | 333,401,180 |
| 利息收入 | 227,171 | 10,664 | - | 237,835 |
| 利息費用 | (2,462,492) | (4,395) | - | (2,466,887) |
| 折舊及攤銷 | (16,370,212) | (201,941) | - | (16,572,153) |
| 採用權益法認列之關聯 | 383,891 | 2,412,494 | - | 2,796,385 |
| 企業及合資損益之份額 | (123,409,547) | (816,958) | - | (124,226,505) |
| 其他項目 |  |  |  |  |
| 部門損益 | $ 223,570,384 | $ 2,297,478 | ($32,698,007) | $193,169,855 |
| 可辨認資產 | $ 480,694,712 | $ 10,142,202 | $ - | $490,836,914 |
| 採用權益法之投資 | 25,308,027 | 7,830,818 | - | 33,138,845 |
| 部門資產 | $ 506,002,739 | $ 17,973,020 | $ - | $523,975,759 |
| 部門負債 | $ 250,872,024 | $ 781,389 | $ - | $251,653,413 |
