# 财务报告

## 流动负债

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 2100 短期借款 | $6,386,080 | $13,737,994 | $9,927,317 |
| 2130 合约负债－流动 | 233,066 | 117,752 | 181,020 |
| 2150 应付票据 | - | - | - |
| 2170 应付帐款 | 8,952,561 | 10,340,079 | 16,120,928 |
| 2180 应付帐款－关系人 | 460,775 | 156,296 | 291,233 |
| 2200 其他应付款 | 40,645,317 | 27,684,495 | 45,895,179 |
| 2220 其他应付款项－关系人 | 100,576 | 90,401 | 139,948 |
| 2230 本期所得税负债 | 1,657,476 | 1,379,985 | 1,295,717 |
| 2280 租赁负债－流动 | 135,316 | 78,446 | 88,570 |
| 2300 其他流动负债 | 8,565,334 | 8,959,279 | 9,390,442 |
| 21XX 流动负债合计 | 67,136,501 | 62,544,727 | 83,333,630 |

## 非流动负债

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 2540 长期借款 | 2,011,134 | 1,713,316 | 1,537,407 |
| 2550 负债准备－非流动 | 1,432,605 | 1,287,710 | 1,293,019 |
| 2570 遗留所得税负债 | 215,642 | 62,725 | 241,260 |
| 2580 租赁负债－非流动 | 1,445,804 | 1,223,185 | 1,246,453 |
| 2600 其他非流动负债 | 99,214 | 105,914 | 146,413 |
| 25XX 非流动负债合计 | 5,204,399 | 4,392,850 | 4,464,552 |
| 2XXX 负债总计 | 72,340,900 | 66,937,577 | 87,798,182 |

## 归属于母公司股东的权益

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 股本 | 5,128,636 | 5,128,636 | 5,128,636 |
| 普通股股本 | 5,128,636 | 5,128,636 | 5,128,636 |
| 资本公积 | 541,832 | 1,045,147 | 1,044,903 |
| 保留盈余 | 8,882,764 | 7,262,359 | 7,262,359 |
| 法定盈余公积 | - | 1,776,089 | 1,776,089 |
| 特别盈余公积 | 22,664,804 | 28,854,826 | 26,721,175 |
| 未分配盈余 | 5,250,939 | 2,686,175 | 4,694,575 |
| 其他权益 | 9,703 | - | - |
| 31XX 归属于母公司股东的权益 | 42,468,975 | 46,753,232 | 46,627,737 |
| 合计 | 42,468,975 | 46,753,232 | 46,627,737 |
| 36XX 非控制权益 | 9,703 | - | - |
| 3XXX 权益总计 | 42,478,678 | 46,762,950 | 46,637,411 |

## 重大承诺事项及或有事项

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 3X2X 负债及权益总计 | $114,819,578 | $113,700,527 | $134,435,593 |

---

后附合并财务报表附注为本合并财务报告之一部分，请同参阅。

---

**董事长：邱顺建**  
**经理人：颜光裕**  
**会计主管：张智能**
