### 财务报告

#### 112年及111年1月1日至3月31日财务数据

#### (一) 固定资产

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 土地 | $ 103,026,269 | $ 103,663,528 | $ 103,663,528 |
| 土地改良物 | $ 1,681,356 | $ 1,675,255 | $ 1,675,255 |
| 房屋及建筑 | $ 72,443,427 | $ 72,529,774 | $ 72,529,774 |
| 资讯设备 | $ 10,863,881 | $ 11,088,877 | $ 11,088,877 |
| 电信设备 | $ 221,480,751 | $ 220,068,323 | $ 220,068,323 |
| 运输设备 | $ 3,938,370 | $ 3,971,039 | $ 3,971,039 |
| 什项设备 | $ 11,268,447 | $ 11,427,497 | $ 11,427,497 |
| 未完工程及待验设备 | $ 936,399,730 | $ 958,891,820 | $ 958,891,820 |
| 合计 | $ 1,261,457,364 | $ 1,285,328,919 | $ 1,285,328,919 |

#### (二) 租赁收入

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 土地 | $ 4,898,158 | $ 4,808,926 | $ 4,808,926 |
| 房屋及建筑 | $ 3,996,029 | $ 4,133,989 | $ 4,133,989 |
| 合计 | $ 8,894,187 | $ 8,942,915 | $ 8,942,915 |

#### (三) 累计折旧及减损

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 土地 | $ - | $ - | $ - |
| 房屋及建筑 | $ - | $ - | $ - |
| 资讯设备 | $ - | $ - | $ - |
| 电信设备 | $ - | $ - | $ - |
| 运输设备 | $ - | $ - | $ - |
| 什项设备 | $ - | $ - | $ - |
| 租赁改良 | $ - | $ - | $ - |
| 空调设备、升降机等 | $ - | $ - | $ - |
| 合计 | $ - | $ - | $ - |

#### (四) (接次页)

---

### 112年及111年1月1日至3月31日财务数据

#### (一) 固定资产

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 土地 | $ 103,026,269 | $ 103,663,528 | $ 103,663,528 |
| 土地改良物 | $ 1,681,356 | $ 1,675,255 | $ 1,675,255 |
| 房屋及建筑 | $ 72,443,427 | $ 72,529,774 | $ 72,529,774 |
| 资讯设备 | $ 10,863,881 | $ 11,088,877 | $ 11,088,877 |
| 电信设备 | $ 221,480,751 | $ 220,068,323 | $ 220,068,323 |
| 运输设备 | $ 3,938,370 | $ 3,971,039 | $ 3,971,039 |
| 什项设备 | $ 11,268,447 | $ 11,427,497 | $ 11,427,497 |
| 未完工程及待验设备 | $ 936,399,730 | $ 958,891,820 | $ 958,891,820 |
| 合计 | $ 1,261,457,364 | $ 1,285,328,919 | $ 1,285,328,919 |

#### (二) 租赁收入

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 土地 | $ 4,898,158 | $ 4,808,926 | $ 4,808,926 |
| 房屋及建筑 | $ 3,996,029 | $ 4,133,989 | $ 4,133,989 |
| 合计 | $ 8,894,187 | $ 8,942,915 | $ 8,942,915 |

#### (三) 累计折旧及减损

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 土地 | $ - | $ - | $ - |
| 房屋及建筑 | $ - | $ - | $ - |
| 资讯设备 | $ - | $ - | $ - |
| 电信设备 | $ - | $ - | $ - |
| 运输设备 | $ - | $ - | $ - |
| 什项设备 | $ - | $ - | $ - |
| 租赁改良 | $ - | $ - | $ - |
| 空调设备、升降机等 | $ - | $ - | $ - |
| 合计 | $ - | $ - | $ - |

#### (四) (接次页)

---

### 112年及111年1月1日至3月31日财务数据

#### (一) 固定资产

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 土地 | $ 103,026,269 | $ 103,663,528 | $ 103,663,528 |
| 土地改良物 | $ 1,681,356 | $ 1,675,255 | $ 1,675,255 |
| 房屋及建筑 | $ 72,443,427 | $ 72,529,774 | $ 72,529,774 |
| 资讯设备 | $ 10,863,881 | $ 11,088,877 | $ 11,088,87
