### 112年3月31日

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 债务 | $ 3,371,554 | $ 4,383,718 | $ 2,207,789 |
| 总计 | $ 10,756,551 | $ 8,026,711 | $ 10,848,978 |

### 111年12月31日

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 债务 | $ 3,048,931 | $ 4,019,354 | $ 1,791,040 |
| 总计 | $ 10,029,770 | $ 7,783,323 | $ 10,029,770 |

### 111年3月31日

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 债务 | $ 3,117,137 | $ 4,019,354 | $ 1,791,040 |
| 总计 | $ 10,029,770 | $ 7,783,323 | $ 10,029,770 |

### 112年3月31日

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 债务 | $ 3,048,931 | $ 4,019,354 | $ 1,791,040 |
| 总计 | $ 10,029,770 | $ 7,783,323 | $ 10,029,770 |

### 111年12月31日

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 债务 | $ 3,048,931 | $ 4,019,354 | $ 1,791,040 |
| 总计 | $ 10,029,770 | $ 7,783,323 | $ 10,029,770 |

### 111年3月31日

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 债务 | $ 3,048,931 | $ 4,019,354 | $ 1,791,040 |
| 总计 | $ 10,029,770 | $ 7,783,323 | $ 10,029,770 |

### 112年3月31日

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 债务 | $ 3,048,931 | $ 4,019,354 | $ 1,791,040 |
| 总计 | $ 10,029,770 | $ 7,783,323 | $ 10,029,770 |

### 111年12月31日

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 债务 | $ 3,048,931 | $ 4,019,354 | $ 1,791,040 |
| 总计 | $ 10,029,770 | $ 7,783,323 | $ 10,029,770 |

### 111年3月31日

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 债务 | $ 3,048,931 | $ 4,019,354 | $ 1,791,040 |
| 总计 | $ 10,029,770 | $ 7,783,323 | $ 10,029,770 |

### 112年3月31日

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 债务 | $ 3,048,931 | $ 4,019,354 | $ 1,791,040 |
| 总计 | $ 10,029,770 | $ 7,783,323 | $ 10,029,770 |

### 111年12月31日

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 债务 | $ 3,048,931 | $ 4,019,354 | $ 1,791,040 |
| 总计 | $ 10,029,770 | $ 7,783,323 | $ 10,029,770 |

### 111年3月31日

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 债务 | $ 3,048,931 | $ 4,019,354 | $ 1,791,040 |
| 总计 | $ 10,029,770 | $ 7,783,323 | $ 10,029,770 |

### 112年3月31日

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 债务 | $ 3,048,931 | $ 4,019,354 | $ 1,791,040 |
| 总计 | $ 10,029,770 | $ 7,783,323 | $ 10,029,770 |

### 111年12月31日

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 债务 | $ 3,048,931 | $ 4,019,354 | $ 1,791,040 |
| 总计 | $ 10,029,770 | $ 7,783,323 | $ 10,029,770 |

### 111年3月31日

| 项目 | 112年3月31日 |
