### 财务报告 - 预付款项和其他金融资产

#### 十一、预付款项

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 预付薪資及奖金 | $ 2,860,982 | $ 4,159 | $ 2,898,477 |
| 预付租金 | 2,261,838 | 2,316,088 | 2,383,155 |
| 其他 | 2,056,845 | 1,806,638 | 1,820,046 |
| 总计 | $ 7,179,665 | $ 4,126,885 | $ 7,101,678 |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 预付薪資及奖金 | $ 2,860,982 | $ 4,159 | $ 2,898,477 |
| 预付租金 | 568,372 | 589,506 | 576,577 |
| 其他 | 2,055,022 | 1,804,943 | 1,806,163 |
| 总计 | $ 5,484,376 | $ 2,398,608 | $ 5,281,217 |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 预付租金 | $ 1,693,466 | $ 1,726,582 | $ 1,806,578 |
| 其他 | 1,823 | 1,695 | 13,883 |
| 总计 | $ 1,695,289 | $ 1,728,277 | $ 1,820,461 |

**预付租金**包含适用认列豁免之租賃协议及不符合租賃定义之合约预付款。

#### 十二、其他金融资产 - 流动

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 原始到期日超过3个月之定期存款、可转让定存单及商业本票 | $17,755,151 | $ 1,915,755 | $ 5,348,049 |
| 应收代收款项 | 781,871 | 815,547 | 748,544 |
| 其他 | 1,443,416 | 887,600 | 662,288 |
| 总计 | $19,980,438 | $ 3,618,902 | $ 6,758,881 |

**原始到期日超过3个月之定期存款、可转让定存单及商业本票于资产负债表日之市场利率区间如下：**

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 原始到期日超过3个月之定期存款、可转让定存单及商业本票 | 0.03%~4.36% | 0.03%~3.00% | 0.03%~2.70% |
