### (三十) 利息收入

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| 分期收款收入 | $3,445,612 | $2,472,729 |
| 融资租赁收入 | 720,322 | 635,028 |
| 存款及短期票券利息 | 61,599 | 45,963 |
| 其他利息收入 | 13,878 | 15,487 |
| 总计 | $4,241,411 | $3,169,207 |

| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|----------------------|----------------------|
| 分期收款收入 | $9,636,617 | $7,058,818 |
| 融资租赁收入 | 2,055,741 | 1,778,998 |
| 存款及短期票券利息 | 174,376 | 118,906 |
| 其他利息收入 | 48,268 | 54,271 |
| 总计 | $11,915,002 | $9,010,993 |

### (三十一) 保费收入

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| 签单保费收入 | $3,050,947 | $2,725,655 |
| 再保费收入 | 101,136 | 101,909 |
| 减：再保费支出 | (717,155) | (535,509) |
| 未满期保费准备金变动 | 156 | 88,167 |
| 总计 | $2,435,084 | $2,203,888 |

| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|----------------------|----------------------|
| 签单保费收入 | $8,996,404 | $8,084,411 |
| 再保费收入 | 376,793 | 307,636 |
| 减：再保费支出 | (2,132,613) | (1,804,890) |
| 未满期保费准备金变动 | (251,986) | (320,486) |
| 总计 | $6,988,598 | $6,266,671 |

### (三十二) 费用性质之额外资讯

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| 员工福利费用 | $2,692,424 | $2,549,845 |
| 折旧费用 | 2,989,980 | 2,704,878 |
| 摊销费用 | 31,876 | 33,420 |
| 总计 | $5,714,280 | $5,288,143 |

| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|----------------------|----------------------|
| 员工福利费用 | $7,921,070 | $7,269,185 |
| 折旧费用 | 8,751,287 | 7,886,084 |
| 摊销费用 | 93,824 | 96,921 |
| 总计 | $16,766,181 | $15,252,190 |
