### (三十四)所得税

#### 1. 所得税费用

##### (1)所得税费用组成部分：

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| 当期所得税： | | |
| 当期所得税产生之所得税 | $1,354,871 | $1,161,351 |
| 未分配盈余加征 | (186,114) | 185,747 |
| 以前年度所得税低 (高)估数 | 7,666 | (804) |
| 当期所得税总额 | 1,176,423 | 1,346,294 |
| 遞延所得税： | | |
| 暫時性差異之原始產生及迴轉 | (948,989) | 104,316 |
| 遞延所得税总额 | (948,989) | 104,316 |
| 所得税费用 | $227,434 | $1,450,610 |

| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|----------------------|----------------------|
| 当期所得税： | | |
| 当期所得税产生之所得税 | $3,728,980 | $3,806,181 |
| 未分配盈余加征 | 56,016 | 197,782 |
| 以前年度所得税低 (高)估数 | 40,132 | (56,725) |
| 当期所得税总额 | 3,825,128 | 3,947,238 |
| 遞延所得税： | | |
| 暫時性差異之原始產生及迴轉 | (1,758,753) | 280,414 |
| 遞延所得税总额 | (1,758,753) | 280,414 |
| 所得税费用 | $2,066,375 | $4,227,652 |

##### (2)与其他综合损益相关之所得税金额：

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| 现金流量避险 | $4,231 | ($8,450) |
| 透过其他综合损益按公允价值变动之金融资产公允价值变动 | ($5,332) | ($648) |
| 指定适用覆盖法之金融资产公允价值变动 | $6,730 | $107 |

### 文本输出

(三十四)所得税

1. 所得税费用

(1)所得税费用组成部分：

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| 当期所得税： | | |
| 当期所得税产生之所得税 | $1,354,871 | $1,161,351 |
| 未分配盈余加征 | (186,114) | 185,747 |
| 以前年度所得税低 (高)估数 | 7,666 | (804) |
| 当期所得税总额 | 1,176,423 | 1,346,294 |
| 遞延所得税： | | |
| 暫時性差異之原始產生及迴轉 | (948,989) | 104,316 |
| 遞延所得税总额 | (948,989) | 104,316 |
| 所得税费用 | $227,434 | $1,450,610 |

| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|----------------------|----------------------|
| 当期所得税： | | |
| 当期所得税产生之所得税 | $3,728,980 | $3,806,181 |
| 未分配盈余加征 | 56,016 | 197,782 |
| 以前年度所得税低 (高)估数 | 40,132 | (56,725) |
| 当期所得税总额 | 3,825,128 | 3,947,238 |
| 遞延所得税： | | |
| 暫時性差異之原始產生及迴轉 | (1,758,753) | 280,414 |
| 遞延所得税总额 | (1,758,753) | 280,414 |
| 所得税费用 | $2,066,375 | $4,227,652 |

(2)与其他综合损益相关之所得税金额：

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| 现金流量避险 | $4,231 | ($8,450) |
| 透过其他综合损益按公允价值变动之金融资产公允价值变动 | ($5,332) | ($648) |
| 指定适用覆盖法之金融资产公允价值变动 | $6,730 | $107 |
