### 财务报告

#### 长荣海运股份有限公司及子公司
#### 合并财务报表
#### 民国111年3月31日及民国110年12月31日、3月31日
#### （民国111年及110年3月31日之合并资产负债表附注，未依一般公认审计准则查核）

#### 单位：新台币仟元

#### 负债及权益
| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| 流动负债 | 136,603,521 | 109,092,860 | 84,890,926 |
| 非流动负债 | 153,855,936 | 144,611,670 | 156,340,683 |
| 负债总计 | 290,459,457 | 253,704,530 | 241,231,609 |

#### 归属于母公司股东之权益
| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| 股本 | 52,910,491 | 52,908,484 | 52,215,557 |
| 普通股股本 | 52,910,491 | 52,908,484 | 52,215,557 |
| 债券换股权利证 | 11 | - | - |
| 资本公积 | 15,899,336 | 15,762,185 | 15,132,876 |
| 资本公积 | 15,899,336 | 15,762,185 | 15,132,876 |
| 保留盈余 | 8,122,482 | 8,122,482 | 5,714,940 |
| 法定盈余公积 | 8,122,482 | 8,122,482 | 5,714,940 |
| 特别盈余公积 | 581,406 | 581,406 | - |
| 未分配盈余 | 351,915,245 | 250,555,749 | 63,817,580 |
| 其他权益 | 7,296,570 | - | 413,559 |
| 合计 | 436,725,541 | 326,784,536 | 137,788,315 |
| 非控制权益 | 30,705,945 | 30,537,054 | 12,049,087 |
| 權益总计 | 467,431,486 | 357,321,590 | 149,837,402 |

#### 重大或有负债及未认列之合约承诺
| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| 重大或有负债及未认列之合约承诺 | 9 | 5 | 3 |
| 重大之期后事项 | 11 | 10 | 10 |

#### 负债及权益总计
| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| $ 757,890,943 | 100 | $ 611,026,120 | 100 | $ 391,069,011 | 100 |

#### 后附合并财务报表附注为本合并财务报告之一部分，请併同参阅。

#### 董事长：张衍义
#### 经理人：谢惠全
#### 会计主管：张传富

---

### Markdown表格格式

```markdown
| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| 流动负债 | 136,603,521 | 109,092,860 | 84,890,926 |
| 非流动负债 | 153,855,936 | 144,611,670 | 156,340,683 |
| 负债总计 | 290,459,457 | 253,704,530 | 241,231,609 |

| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| 股本 | 52,910,491 | 52,908,484 | 52,215,557 |
| 普通股股本 | 52,910,491 | 52,908,484 | 52,215,557 |
| 债券换股权利证 | 11 | - | - |
| 资本公积 | 15,899,336 | 15,762,185 | 15,132,876 |
| 资本公积 | 15,899,336 | 15,762,185 | 15,132,876 |
| 保留盈余 | 8,122,482 | 8,122,482 | 5,714,940 |
| 法定盈余公积 | 8,122,482 | 8,122,482 | 5,714,940 |
| 特别盈余公积 | 581,406 | 581,406 | - |
| 未分配盈余 | 351,915,245 | 250,555,749 | 63,817,580 |
| 其他权益 | 7,296,570 | - | 413,559 |
| 合计 | 436,725,541 | 326,784,536 | 137,788,315 |
| 非控制权益 | 30,705,945 | 30,537,054 | 12,049,087 |
| 權益总计 | 467,431,486 | 357,321,590 | 149,837,402 |

| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| 重大或有负债及未认列之合约承诺 | 9 | 5 | 3 |
| 重大之期后事项 | 11 | 10 | 10 |

| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| $ 757,890,943 | 100 | $ 611,026,120 | 100 | $ 391
