### 财务成本

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|---------------------|---------------------|---------------------|---------------------|
| 银行借款利息 | $460,112 | $167,118 | $1,007,409 | $544,041 |
| 公司债利息 | 280,866 | 133,274 | 765,580 | 450,565 |
| 租赁负债之利息 | 23,728 | 20,398 | 72,998 | 37,275 |
| 其他财务成本 | 47,922 | 90,434 | 152,023 | 173,201 |
| 总计 | $812,628 | $411,224 | $1,998,010 | $1,205,082 |

### 利息收入

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|---------------------|---------------------|---------------------|---------------------|
| 银行存款利息 | $549,225 | $385,069 | $1,346,576 | $1,151,192 |
| 其他 | 2,127 | 4,175 | 3,936 | 4,986 |
| 总计 | $551,352 | $389,244 | $1,350,512 | $1,156,178 |

### 继续营业单位所得税

#### (一) 认列于损益之所得税

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|---------------------|---------------------|---------------------|---------------------|
| 当期所得税 | | | | |
| 本期产生者 | $321,199 | $1,034,151 | $2,030,183 | $4,160,542 |
| 以前年度调整 | (28,358) | 2,114 | (395,823) | (106,529) |
| 遗延所得税 | | | | |
| 本期产生者 | 171,890 | (45,538) | (348,059) | 105,046 |
| 认列于损益之所得税费用 | $464,731 | $990,727 | $1,286,301 | $4,159,059 |
