### 财务报告

#### 110年12月31日

| 项目 | 第1等級 | 第2等級 | 第3等級 | 合計 |
|------|----------|----------|----------|------|
| 透過其他綜合損益按公允價值衡量之金融資產 | | | | |
| 權益工具投資 | | | | |
| 國內上市櫃股票 | $ 5,737,665 | $ - | $ - | $ 5,737,665 |
| 國外上市股票 | 12,481,907 | - | - | 12,481,907 |
| 國內上市私募股票 | - | 904,983 | - | 904,983 |
| 國內未上市櫃股票 | - | - | 8,507,646 | 8,507,646 |
| 國外未上市櫃特別股 | - | - | 286,227 | 286,227 |
| 國內可轉換特別股 | 51,375 | - | - | 51,375 |
| 合計 | $ 18,270,947 | $ 904,983 | $ 8,793,873 | $ 27,969,803 |

| 透過損益按公允價值衡量之金融負債 | | | | |
|------|----------|----------|----------|------|
| 衍生工具－可轉換公司債贖回及賣回權 | $ - | $ - | $ 703,682 | $ 703,682 |

#### 110年9月30日

| 项目 | 第1等級 | 第2等級 | 第3等級 | 合計 |
|------|----------|----------|----------|------|
| 透過其他綜合損益按公允價值衡量之金融資產 | | | | |
| 權益工具投資 | | | | |
| 國內上市櫃股票 | $ 6,335,655 | $ - | $ - | $ 6,335,655 |
| 國外上市股票 | 17,615,868 | - | - | 17,615,868 |
| 國內上市私募股票 | - | 1,255,794 | - | 1,255,794 |
| 國內未上市櫃股票 | - | - | 8,964,202 | 8,964,202 |
| 國內可轉換特別股 | 51,888 | - | - | 51,888 |
| 合計 | $ 24,003,411 | $ 1,255,794 | $ 8,964,202 | $ 34,223,407 |

| 透過損益按公允價值衡量之金融負債 | | | | |
|------|----------|----------|----------|------|
| 衍生工具－可轉換公司債贖回及賣回權 | $ - | $ - | $ 213,062 | $ 213,062 |

#### 110年6月30日

| 项目 | 第1等級 | 第2等級 | 第3等級 | 合計 |
|------|----------|----------|----------|------|
| 透過其他綜合損益按公允價值衡量之金融資產 | | | | |
| 權益工具投資 | | | | |
| 國內上市櫃股票 | $ 7,000,000 | $ - | $ - | $ 7,000,000 |
| 國外上市股票 | 17,615,868 | - | - | 17,615,868 |
| 國內上市私募股票 | - | 1,255,794 | - | 1,255,794 |
| 國內未上市櫃股票 | - | - | 8,964,202 | 8,964,202 |
| 國內可轉換特別股 | 51,888 | - | - | 51,888 |
| 合計 | $ 24,003,411 | $ 1,255,794 | $ 8,964,202 | $ 34,223,407 |

| 透過損益按公允價值衡量之金融負債 | | | | |
|------|----------|----------|----------|------|
| 衍生工具－可轉換公司債贖回及賣回權 | $ - | $ - | $ 213,062 | $ 213,062 |

### 结论

以上财务报告展示了公司截至110年12月31日、9月30日和6月30日的财务状况。报告中详细列出了通过其他综合收益按公允价值衡量的金融资产和金融负债的金额。通过权益工具投资和金融负债的分析，可以了解公司的资产结构和负债情况。
