# 财务报告分析

## 财务数据提取

### Markdown表格格式

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 现金及现金等价物 | $ 10,337,159 | $ 8,695,372 | $ 6,669,623 |
| 流动负债 | $ 28,208 | - | - |
| 非流动负债 | - | - | - |
| 总计 | $ 10,337,159 | $ 8,695,372 | $ 6,669,623 |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 现金及现金等价物 | $ 5,777,736 | $ 5,918,726 | $ 391,274 |
| 流动负债 | $ 2,228,105 | $ 2,993,251 | $ 2,283,065 |
| 非流动负债 | - | - | - |
| 总计 | $ 5,777,736 | $ 5,918,726 | $ 391,274 |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 现金及现金等价物 | $ 11,747,520 | $ 13,138,205 | $ 10,264,884 |
| 流动负债 | $ 2,508,090 | $ 2,071,691 | $ 1,459,753 |
| 非流动负债 | - | - | - |
| 总计 | $ 11,747,520 | $ 13,138,205 | $ 10,264,884 |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 现金及现金等价物 | $ 265,693 | $ 341,067 | $ 160,160 |
| 流动负债 | $ 150,902 | $ 145,940 | $ 100,448 |
| 非流动负债 | - | - | - |
| 总计 | $ 265,693 | $ 341,067 | $ 160,160 |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 现金及现金等价物 | $ 12,916,110 | $ 12,788,108 | $ 14,543,626 |
| 流动负债 | $ 300,557 | $ 925,558 | $ 250,465 |
| 非流动负债 | - | - | - |
| 总计 | $ 12,916,110 | $ 12,788,108 | $ 14,543,626 |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 现金及现金等价物 | $ 1,930 | $ 1,930 | $ 1,930 |
| 流动负债 | - | - | - |
| 非流动负债 | - | - | - |
| 总计 | $ 1,930 | $ 1,930 | $ 1,930 |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 现金及现金等价物 | $ 154,155 | $ 165,985 | $ 108,401 |
| 流动负债 | - | - | - |
| 非流动负债 | - | - | - |
| 总计 | $ 154,155 | $ 165,985 | $ 108,401 |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 现金及现金等价物 | $ 100,086 | $ 151,492 | $ 52,532 |
| 流动负债 | - | - | - |
| 非流动负债 | - | - | - |
| 总计 | $ 100,086 | $ 151,492 | $ 52,532 |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 现金及现金等价物 | $ 138,867 | $ 77,114 | $ 34,965 |
| 流动负债 | - | - | - |
| 非流动负债 | - | - | - |
| 总计 | $ 138,867 | $ 77,114 | $ 34,965 |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 现金及现金等价物 | $ 121,025 | $ 80,835 | $ 72,554 |
| 流动负债 | - | - | - |
| 非流动负债 | - | - | - |
| 总计 | $ 121,025 | $ 80,835 | $ 72,554 |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 现金及现金等价物 | $ 4,219,849 | $ 4,178,048 | $ 3,688,108 |
| 流动负债 | - | - | - |
| 非流动负债 | - | - | - |
| 总计 | $ 4,219,849 | $ 4,178,048 | $ 3,688,108 |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 现金及现金等价物 | $ 45,997,893 | $ 46,060,809 | $ 36,380,993 |
| 流动负债 | $ 45,997,893 | $ 46,060,809 | $ 36,380,993 |
| 非流动负债 | - | - | - |
| 总计 | $ 45,997,893 | $ 46,060,809 | $ 36,380,993 |

## 结论

通过对财务报告的分析，我们可以看到公司在不同时间点的财务状况。从表格中可以看出，公司的现金及现金等价物在112年
