### 110年

| 项目 | 1月1日 | 1月1日 | 9月30日 | 9月30日 |
|------|--------|--------|--------|--------|
| 商誉 | $ 17,266,764 | $ 14,916,895 | $ 15,951,844 | $ 18,249,732 |
| 特許權 | $ 14,581,255 | $ 9,861,685 | $ 9,168,125 | $ 14,581,255 |
| 專利權 | $ 4,323,547 | $ 1,378,038 | $ 1,262,058 | $ 4,322,842 |
| 商標權 | $ 9,447,950 | $ 8,928,927 | $ 8,417,280 | $ 9,288,236 |
| 已發展技術 | $ 10,386,924 | $ 8,374,088 | $ 7,569,937 | $ 9,991,551 |
| 客戶關係 | $ 1,657,536 | $ 1,300,450 | $ 1,156,489 | $ 1,620,870 |
| 電腦軟體成本 | $ - | $ - | $ - | $ 7,907,331 |
| 合計 | $ 57,663,976 | $ 44,760,083 | $ 45,767,945 | $ 65,961,817 |

### 110年

| 项目 | 1月1日 | 1月1日 | 9月30日 | 9月30日 |
|------|--------|--------|--------|--------|
| 累計攤銷及減損 | (2,349,869) | (4,719,570) | (3,060,784) | (2,297,888) |
| 商譽 | $ 17,266,764 | $ 14,916,895 | $ 15,951,844 | $ 18,249,732 |
| 特許權 | $ 14,581,255 | $ 9,861,685 | $ 9,168,125 | $ 14,581,255 |
| 專利權 | $ 4,323,547 | $ 1,378,038 | $ 1,262,058 | $ 4,322,842 |
| 商標權 | $ 9,447,950 | $ 8,928,927 | $ 8,417,280 | $ 9,288,236 |
| 已發展技術 | $ 10,386,924 | $ 8,374,088 | $ 7,569,937 | $ 9,991,551 |
| 客戶關係 | $ 1,657,536 | $ 1,300,450 | $ 1,156,489 | $ 1,620,870 |
| 電腦軟體成本 | $ - | $ - | $ - | $ 7,907,331 |
| 合計 | (12,903,893) | (8,140,487) | (7,997,836) | (5,665,119) |

### 110年

| 项目 | 1月1日 | 1月1日 | 9月30日 | 9月30日 |
|------|--------|--------|--------|--------|
| 累計攤銷及減損 | (2,349,869) | (4,719,570) | (3,060,784) | (2,297,888) |
| 商譽 | $ 17,266,764 | $ 14,916,895 | $ 15,951,844 | $ 18,249,732 |
| 特許權 | $ 14,581,255 | $ 9,861,685 | $ 9,168,125 | $ 14,581,255 |
| 專利權 | $ 4,323,547 | $ 1,378,038 | $ 1,262,058 | $ 4,322,842 |
| 商標權 | $ 9,447,950 | $ 8,928,927 | $ 8,417,280 | $ 9,288,236 |
| 已發展技術 | $ 10,386,924 | $ 8,374,088 | $ 7,569,937 | $ 9,991,551 |
| 客戶關係 | $ 1,657,536 | $ 1,300,450 | $ 1,156,489 | $ 1,620,870 |
| 電腦軟體成本 | $ - | $ - | $ - | $ 7,907,331 |
| 合計 | (12,903,893) | (8,140,487) | (7,997,836) | (5,665,119) |
