### 财务报告

#### 1. 金融负债

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 持有供交易者 | $ 620,967 | $ 116,215 | $ 2,203,138 |

#### 2. 未到期远期外汇合约

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| Sell NTD | 112年4月~112年5月 | NTD 114,069,212 | |
| Sell USD | 112年4月~112年5月 | USD 736,501 | |
| Sell RMB | 112年4月 | RMB 1,033,673 | |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| Sell NTD | 112年1月~112年3月 | NTD 79,610,590 | |
| Sell USD | 112年1月~112年3月 | USD 752,486 | |
| Sell RMB | 112年1月~112年3月 | RMB 1,448,371 | |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| Sell NTD | 111年4月~111年6月 | NTD 118,373,692 | |
| Sell USD | 111年4月~111年5月 | USD 1,674,736 | |

#### 3. 透过其他综合损益按公允价值衡量之金融资产

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 透过其他综合损益按公允价值衡量之债务工具投资 | $ 68,601,115 | $ 66,116,166 | $ 59,119,180 |
| 公司债 | 31,299,500 | 28,399,890 | 32,024,446 |
| 政府机构债券/政府机构不动产抵押贷款债券 | 19,925,888 | 18,929,924 | 20,392,667 |
| 资产基础证券 | 9,425,896 | 9,274,697 | 8,938,231 |
| 总计 | $ 129,252,399 | $ 122,720,677 | $ 120,474,524 |

#### 4. 未到期远期外汇合约

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| Sell NTD | 112年4月~112年5月 | NTD 114,069,212 | |
| Sell USD | 112年4月~112年5月 | USD 736,501 | |
| Sell RMB | 112年4月 | RMB 1,033,673 | |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| Sell NTD | 112年1月~112年3月 | NTD 79,610,590 | |
| Sell USD | 112年1月~112年3月 | USD 752,486 | |
| Sell RMB | 112年1月~112年3月 | RMB 1,448,371 | |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| Sell NTD | 111年4月~111年6月 | NTD 118,373,692 | |
| Sell USD | 111年4月~111年5月 | USD 1,674,736 | |

#### 5. 透过其他综合损益按公允价值衡量之金融资产

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 透过其他综合损益按公允价值衡量之债务工具投资 | $ 68,601,115 | $ 66,116,166 | $ 59,119,180 |
| 公司债 | 31,299,500 | 28,399,890 | 32,024,446 |
| 政府机构债券/政府机构不动产抵押贷款债券 | 19,925,888 | 18,929,924 | 20,392,667 |
| 资产基础证券 | 9,425,896 | 9,274,697 | 8,938,231 |
| 总计 | $ 129,252,399 | $ 122,720,677 | $ 120,474,524 |

#### 6. 未到期远期外汇合约

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| Sell NTD | 112年4月~112年5月 | NTD 114,069,212 | |
| Sell USD | 112年4月~112年5月 | USD 736,501 | |
| Sell RMB | 112年4月 | RMB 1,033,673 | |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| Sell NTD | 112年1月~112年3月 | NTD 79,610,590 | |
| Sell USD | 112年1月~112年3月 | USD 752,486 | |
| Sell RMB | 112年1月~112年3月 | RMB 1,448,371 | |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| Sell NTD | 111年4月~111年6月 | NTD 118,373,692 | |
| Sell USD | 111年4月~111年5月 | USD 1,674,736 | |

#### 7. 透过其他综合损益按公允价值衡量之金融资产

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 透过其他综合损益按公允价值衡量之债务工具投资 | $ 68,601,115 | $ 66,1
