### 112年3月31日

| 项目 | 第一等級 | 第二等級 | 第三等級 | 合計 |
|------|----------|----------|----------|------|
| 透過其他綜合損益按公允價值衡量之金融資產 | | | | |
| 債務工具投資 | | | | |
| 公司債 | $ - | $ 68,601,115 | $ - | $ 68,601,115 |
| 政府機構債券／政府機構不動產抵押貸款債券 | - | 31,299,500 | - | 31,299,500 |
| 政府公債 | 19,886,403 | 39,485 | - | 19,925,888 |
| 資產基礎證券 | - | 9,425,896 | - | 9,425,896 |
| 權益工具投資 | | | | |
| 未上市（櫃）公司股權投資 | - | - | 6,918,090 | 6,918,090 |
| 上市（櫃）公司股票 | 288,635 | - | - | 288,635 |
| 應收票據及帳款淨額 | - | 3,716,072 | - | 3,716,072 |
| 合計 | $ 20,175,038 | $ 113,082,068 | $ 6,918,090 | $ 140,175,196 |
| | | | | |
| 避險之金融資產 | | | | |
| 現金流量避險 | | | | |
| 遠期外匯合約 | $ - | $ 70 | $ - | $ 70 |
| | | | | |
| 透過損益按公允價值衡量之金融負債 | | | | |
| 持有供交易 | | | | |
| 遠期外匯合約 | $ - | $ 620,967 | $ - | $ 620,967 |
| | | | | |
| 避險之金融負債 | | | | |
| 公允價值避險 | | | | |
| 利率期貨合約 | $ 37,929 | $ - | $ - | $ 37,929 |
| 現金流量避險 | - | 1,179 | - | 1,179 |
| 遠期外匯合約 | - | - | - | - |
| 合計 | $ 37,929 | $ 1,179 | $ - | $ 39,108 |

### 111年12月31日

| 项目 | 第一等級 | 第二等級 | 第三等級 | 合計 |
|------|----------|----------|----------|------|
| 透過損益按公允價值衡量之金融資產 | | | | |
| 債務工具投資 | | | | |
| 公司債 | $ - | $ 66,116,166 | $ - | $ 66,116,166 |
| 政府機構債券／政府機構不動產抵押貸款債券 | - | 28,399,890 | - | 28,399,890 |
| 政府公債 | 18,845,577 | 84,347 | - | 18,929,924 |
| 資產基礎證券 | - | 9,274,697 | - | 9,274,697 |
| 權益工具投資 | | | | |
| 未上市（櫃）公司股權投資 | - | - | 6,159,200 | 6,159,200 |
| 上市（櫃）公司股票 | 277,866 | - | - | 277,866 |
| 應收票據及帳款淨額 | - | 7,325,606 | - | 7,325,606 |
| 合計 | $ 19,123,443 | $ 111,200,706 | $ 6,159,200 | $ 136,483,349 |

### 接次頁

- 47 -
