### 111年12月31日

| 项目 | 第一等级 | 第二等级 | 第三等级 | 合计 |
|------|----------|----------|----------|------|
| 避险之金融资产 | | | | |
| 公允价值避险 | | | | |
| 利率期货合约 | $2,329 | $- | $- | $2,329 |
| 透过损益按公允价值衡量之金融资产 | | | | |
| 持有可供交易 | | | | |
| 远期外汇合约 | $- | $116,215 | $- | $116,215 |
| 避险之金融负债 | | | | |
| 公允价值避险 | | | | |
| 利率期货合约 | $813 | $- | $- | $813 |

### 111年3月31日

| 项目 | 第一等级 | 第二等级 | 第三等级 | 合计 |
|------|----------|----------|----------|------|
| 透过损益按公允价值衡量之金融资产 | | | | |
| 强制透过损益按公允价值衡量 | | | | |
| 远期外汇合约 | $- | $758,452 | $- | $758,452 |
| 透过其他综合损益按公允价值衡量 | | | | |
| 金融资产 | | | | |
| 债务工具投资 | | | | |
| 公司债 | $- | $59,119,180 | $- | $59,119,180 |
| 政府机构债券/政府机构不动产抵押贷款债券 | - | 32,024,446 | - | 32,024,446 |
| 政府公债 | 20,312,877 | 79,790 | - | 20,392,667 |
| 资产基础证券 | - | 8,938,231 | - | 8,938,231 |
| 权益工具投资 | | | | |
| 未上市（或）公司股权投资 | - | - | 6,011,937 | 6,011,937 |
| 上市（或）公司股票 | 521,241 | - | - | 521,241 |
| 应收票据及帐款净额 | - | 5,232,949 | - | 5,232,949 |
| 总计 | $20,834,118 | $105,394,596 | $6,011,937 | $132,240,651 |

### 避险之金融资产

| 项目 | 第一等级 | 第二等级 | 第三等级 | 合计 |
|------|----------|----------|----------|------|
| 公允价值避险 | | | | |
| 利率期货合约 | $78,343 | $- | $- | $78,343 |
| 现金流量避险 | | | | |
| 远期利率合约 | - | 208,481 | - | 208,481 |
| 总计 | $78,343 | $208,481 | $- | $286,824 |

### 透过损益按公允价值衡量之金融负债

| 项目 | 第一等级 | 第二等级 | 第三等级 | 合计 |
|------|----------|----------|----------|------|
| 持有可供交易 | | | | |
| 远期外汇合约 | $- | $2,203,138 | $- | $2,203,138 |

### 金融工具以第三等级公允价值衡量之调节

本公司以第三等级公允价值衡量之金融资产，係透过损益按公允价值衡量之金融资产及透过其他综合损益按公允价值衡量之权益工具投资，112年及111年1月1日至3月31日之调节如下：
