### (七)採用權益法之投資

| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 台朔重工公司 | $ 6,862,808 | $ 7,694,115 | $ 7,831,656 |
| 汎航通運公司 | 23,567 | 49,214 | 62,699 |
| 台塑汽車貨運公司 | 1,360,269 | 1,250,682 | 1,244,452 |
| 台塑石化公司 | 78,865,103 | 86,080,723 | 83,685,737 |
| 麥寮汽電公司 | 10,632,568 | 12,819,210 | 12,566,677 |
| 華亞園區顧問公司 | 3,210 | 3,195 | 3,032 |
| 台朔環保科技公司 | 230,755 | 228,831 | 228,982 |
| 台塑合成橡膠(香港)公司 | 2,063,646 | 2,182,064 | 2,174,440 |
| 台塑資源公司 | 8,051,121 | 6,860,325 | 6,878,916 |
| 台塑集團(開曼)公司 | 790,834 | 662,099 | 656,844 |
| 台塑建設公司 | 570,315 | 593,734 | 601,714 |
| 國塑塑膠公司 | 83,856 | 48,469 | - |
| FG INC. | 3,769,780 | 3,335,242 | 3,355,964 |
| 台塑新智能科技公司 | 1,001,372 | - | - |
| 必昂國際公司 | 96,061 | 95,492 | 94,915 |
| 台塑鋰鐵材料科技公司 | 12,776 | - | - |
| 福懋科技公司 | 5,186,532 | 5,152,935 | 5,024,948 |
| 南亞光電公司 | 190,465 | 290,161 | 216,270 |
| 廣越企業公司 | 1,373,027 | 1,238,353 | 1,232,945 |
| 常熟裕源公司 | 16,761 | 17,480 | 15,961 |
| Schoeller Textil AG | 1,040,968 | 1,030,378 | 1,054,827 |
| 总计 | $ 122,225,794 | $ 129,632,702 | $ 126,930,979 |

### 1. 關聯企業

#### (1)本集團重大關聯企業之基本資訊如下：

| 主要公司名稱 | 營業場所 | 持股比率 | 衡量關係之性質 | 方法 |
|--------------|----------|----------|----------------|------|
| 台塑石化公司 | 台灣 | 24.15% | 權益法之投資個體 | 權益法 |

#### (2)本集團重大關聯企業之基本資訊如下：

| 主要公司名稱 | 營業場所 | 持股比率 | 衡量關係之性質 | 方法 |
|--------------|----------|----------|----------------|------|
| 台塑石化公司 | 台灣 | 24.15% | 權益法之投資個體 | 權益法 |

#### (3)本集團重大關聯企業之基本資訊如下：

| 主要公司名稱 | 營業場所 | 持股比率 | 衡量關係之性質 | 方法 |
|--------------|----------|----------|----------------|------|
| 台塑石化公司 | 台灣 | 24.15% | 權益法之投資個體 | 權益法 |

#### (4)本集團重大關聯企業之基本資訊如下：

| 主要公司名稱 | 營業場所 | 持股比率 | 衡量關係之性質 | 方法 |
|--------------|----------|----------|----------------|------|
| 台塑石化公司 | 台灣 | 24.15% | 權益法之投資個體 | 權益法 |

#### (5)本集團重大關聯企業之基本資訊如下：

| 主要公司名稱 | 營業場所 | 持股比率 | 衡量關係之性質 | 方法 |
|--------------|----------|----------|----------------|------|
| 台塑石化公司 | 台灣 | 24.15% | 權益法之投資個體 | 權益法 |

#### (6)本集團重大關聯企業之基本資訊如下：

| 主要公司名稱 | 營業場所 | 持股比率 | 衡量關係之性質 | 方法 |
|--------------|----------|----------|----------------|------|
| 台塑石化公司 | 台灣 | 24.15% | 權益法之投資個體 | 權益法 |

#### (7)本集團重大關聯企業之基本資訊如下：

| 主要公司名稱 | 營業場所 | 持股比率 | 衡量關係之性質 | 方法 |
|--------------|----------|----------|----------------|------|
| 台塑石化公司 | 台灣 | 24.15% | 權益法之投資個體 | 權益法 |

#### (8)本集團重大關聯企業之基本資訊如下：

| 主要公司名稱 | 營業場所 | 持股比率 | 衡量關係之性質 | 方法 |
|--------------|----------|----------|----------------|------|
| 台塑石化公司 | 台灣 | 24.15% | 權益法之投資個體 | 權益法 |

#### (9)本集團重大關聯企業之基本資訊如下：

| 主要公司名稱 | 營業場所 | 持股比率 | 衡量關係之性質 | 方法 |
|--------------|----------|----------|----------------|------|
| 台塑石化公司 | 台灣 | 24.15% | 權益法之投資個體 | 權益法 |

#### (10)本集團重大關聯企業之基本資訊如下：

| 主要公司名稱 | 營業場所 | 持股比率 | 衡量關係之性質 | 方法 |
|--------------|----------|----------|----------------|------|
| 台塑石化公司 | 台灣 | 24.15% | 權益法之投資個體 | 權益法 |

#### (11)本集團重大關聯企業之基本資訊如下：

| 主要公司名稱 | 營業場所 | 持股比率 | 衡量關係之性質 | 方法 |
|--------------|----------|----------|----------------|------|
| 台塑石化公司 | 台灣 | 24.15% | 權益法之投資個體 | 權益法 |

#### (12)本集團重大關聯企業之基本資訊如下：

| 主要公司名稱 | 營業場所 | 持股比率 | 衡量關係之性質 | 方法 |
|--------------|----------|----------|----------------|------|
| 台塑石化公司 | 台灣 | 24.15% | 權益法之投資個體 | 權益法 |

#### (13)本集團重大關聯企業之基本資訊如下：

| 主要公司名稱 | 營業場所 | 持股比率 | 衡量關係之性質 | 方法 |
|--------------|----------|----------|----------------|------|
| 台塑石化公司 | 台灣 | 24.15% |
