```markdown
# 中華電信股份有限公司及其子公司
## 合併現金流量表
### 民國 112 年及 111 年 1 月 1 日至 3 月 31 日
#### （僅經核閱，未依審計準則查核）

| 代 碼 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|-------|---------------------|---------------------|
| A10000 | 調整項目： |
| A20000 | 營業活動之現金流量 |
| A20100 | 本期稅前淨利 | $ 12,259,993 | $ 11,674,393 |
| A20200 | 折舊費用 | 8,203,942 | 8,051,310 |
| A20200 | 損益之份額 | 1,677,506 | 1,634,584 |
| A20200 | 取得合約之增額成本損失 | 214,202 | 210,872 |
| A20300 | 預期信用減損損失 | 100,368 | 101,386 |
| A20900 | 利息費用 | 75,412 | 56,012 |
| A21200 | 利息收入 | (117,711) | (24,398) |
| A21900 | 股份基礎給付酬勞成本 | 2,472 | 4,003 |
| A22300 | 採用權益法認列關聯企業及合資 | (103,108) | (110,069) |
| A22500 | 處分不動產、廠房及設備損失 | 44 | 1,357 |
| A23100 | 處分金融工具損益 | - | 728 |
| A23700 | 存貨跌價及呆滯損失 | 5,274 | 40,452 |
| A20400 | 透過損益按公允價值衡量金融資 | 46,086 | 94,077 |
| A29900 | 其他 | 8,671 | 89,100 |
| A30000 | 營業資產及負債之淨變動數 | (277,030) | (134,298) |
| A31125 | 合約資產 | 3,585,668 | 2,794,654 |
| A31150 | 應收票據及帳款 | 27,003 | 1,883 |
| A31200 | 存貨 | (712,959) | (1,225,580) |
| A31230 | 預付款項 | (3,052,780) | (2,973,118) |
| A31250 | 其他金融資產 | (502,578) | 92,957 |
| A31240 | 其他流動資產 | (285,996) | (373,383) |
| A31270 | 取得合約之增額成本 | (189,060) | (190,678) |
| A32125 | 合約負債 | (501,191) | 527,745 |
| A32150 | 應付票據及帳款 | (6,455,842) | (6,236,259) |
| A32160 | 應付關係人款項 | (261,615) | (177,266) |
| A32180 | 其他應付款 | (2,536,258) | (1,891,622) |

(接次頁)
```
