```markdown
# 光寶科技股份有限公司及子公司
## 合併現金流量表
### 民國 112 年及 111 年 1 月 1 日至 3 月 31 日
#### （僅經核閱，未依審計準則查核）

| 代 碼 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|-------|---------------------|---------------------|
| A10000 | 稅前淨利 | $ 2,974,586 | $ 2,656,867 |
| A20010 | 收益費損項目 | | |
| A20100 | 折舊費用 | 1,059,426 | 1,067,205 |
| A20200 | 攤銷費用 | 40,422 | 36,355 |
| A20300 | 預期信用減損損失（迴轉利益） | (6,967) | 1,719 |
| A20400 | 透過損益按公允價值衡量金融資產及負債之淨益 | (49,450) | (292,030) |
| A20900 | 利息費用 | 326,558 | 58,749 |
| A21200 | 利息收入 | (603,219) | (147,606) |
| A22300 | 採用權益法認列之關聯企業損失份額 | 2,745 | 1,581 |
| A22500 | 處分不動產、廠房及設備淨益 | (3,344) | (5,553) |
| A23700 | 非金融資產減損損失 | - | 195,580 |
| A23800 | 非金融資產減損迴轉利益 | (37,037) | - |
| A24100 | 未實現外幣兌換淨損（益） | (340,652) | 854,753 |
| A29900 | 提列（迴轉）負債準備 | 14,189 | (34) |
| A30000 | 營業資產及負債之淨變動數 | | |
| A31115 | 強制透過損益按公允價值衡量之金融資產 | 1,684,282 | 209,749 |
| A31125 | 合約資產 | 93,110 | 85,473 |
| A31130 | 應收票據 | (117,460) | (148,792) |
| A31150 | 應收帳款 | 7,524,297 | 3,732,319 |
| A31160 | 應收帳款－關係人 | - | 104 |
| A31180 | 其他應收款 | (1,706,654) | (155,924) |
| A31190 | 其他應收款－關係人 | 14,064 | 3,265 |
| A31200 | 存貨 | 2,347,341 | 1,736,912 |
| A31240 | 其他流動資產 | (50,525) | (162,938) |
| A32125 | 合約負債 | (32,379) | - |
| A32130 | 應付票據 | (11) | (32) |
| A32150 | 應付帳款 | (6,863,527) | (3,407,184) |

(接次頁)
```
