```markdown
|  | 短期借款 | 應付短期票券 | 應付公司債（含一年內到期部分） | 長期借款（含一年內到期部分） | 來自籌資活動之負債總額 |
|---|---|---|---|---|---|
| 111年1月1日 | $17,512,874 | $17,796,625 | $50,050,000 | $17,177,183 | $102,536,682 |
| 繳資現金流量之變動 | 24,266,160 | 9,636,947 | (2,500,000) | 7,344,289 | 38,747,396 |
| 匯率變動之影響 | - | - | - | - | 830,219 |
| 取得子公司之變動 | - | - | - | 52,000 | 52,000 |
| 111年9月30日 | $41,779,034 | $27,433,572 | $47,550,000 | $25,403,691 | $142,166,297 |

|  | 短期借款 | 應付短期票券 | 應付公司債（含一年內到期部分） | 長期借款（含一年內到期部分） | 來自籌資活動之負債總額 |
|---|---|---|---|---|---|
| 110年1月1日 | $19,055,620 | $16,096,733 | $42,100,000 | $16,298,088 | $93,550,441 |
| 繳資現金流量之變動 | 1,014,668 | (1,498,685) | 10,000,000 | (553,625) | 8,962,358 |
| 匯率變動之影響 | - | - | - | - | (181,490) |
| 110年9月30日 | $20,070,288 | $14,598,048 | $52,100,000 | $15,562,973 | $102,331,309 |
```
