### 财务报告

#### 111年1月1日至3月31日
| 代 碼 | 金 额 | % | 110年1月1日至3月31日 | 金 额 | % |
|-------|--------|---|----------------------|--------|---|
| 8610  | $ 2,103,750 | 5 | $ 4,263,410 | 11 |  |
| 8620  | 8,464 | - | 11,787 | - |  |
| 8600  | $ 2,112,214 | 5 | $ 4,275,197 | 11 |  |
| 8710  | $ 4,939,238 | 12 | $ 4,996,646 | 13 |  |
| 8720  | 38,133 | - | 2,418 | - |  |
| 8700  | $ 4,977,371 | 12 | $ 4,999,064 | 13 |  |
| 9750  | 基  本 | $ 0.92 | $ 1.83 |  |  |
| 9850  | 稀  释 | $ 0.91 | $ 1.82 |  |  |

#### 111年1月1日至3月31日
| 项目 | 金 额 | % | 110年1月1日至3月31日 | 金 额 | % |
|-------|--------|---|----------------------|--------|---|
| 基  本 | $ 0.92 |  | $ 1.83 |  |  |
| 稀  释 | $ 0.91 |  | $ 1.82 |  |  |

#### 111年1月1日至3月31日
| 项目 | 金 额 | % | 110年1月1日至3月31日 | 金 额 | % |
|-------|--------|---|----------------------|--------|---|
| 基  本 | $ 0.92 |  | $ 1.83 |  |  |
| 稀  释 | $ 0.91 |  | $ 1.82 |  |  |

#### 111年1月1日至3月31日
| 项目 | 金 额 | % | 110年1月1日至3月31日 | 金 额 | % |
|-------|--------|---|----------------------|--------|---|
| 基  本 | $ 0.92 |  | $ 1.83 |  |  |
| 稀  释 | $ 0.91 |  | $ 1.82 |  |  |

#### 111年1月1日至3月31日
| 项目 | 金 额 | % | 110年1月1日至3月31日 | 金 额 | % |
|-------|--------|---|----------------------|--------|---|
| 基  本 | $ 0.92 |  | $ 1.83 |  |  |
| 稀  释 | $ 0.91 |  | $ 1.82 |  |  |

#### 111年1月1日至3月31日
| 项目 | 金 额 | % | 110年1月1日至3月31日 | 金 额 | % |
|-------|--------|---|----------------------|--------|---|
| 基  本 | $ 0.92 |  | $ 1.83 |  |  |
| 稀  释 | $ 0.91 |  | $ 1.82 |  |  |

#### 111年1月1日至3月31日
| 项目 | 金 额 | % | 110年1月1日至3月31日 | 金 额 | % |
|-------|--------|---|----------------------|--------|---|
| 基  本 | $ 0.92 |  | $ 1.83 |  |  |
| 稀  释 | $ 0.91 |  | $ 1.82 |  |  |

#### 111年1月1日至3月31日
| 项目 | 金 额 | % | 110年1月1日至3月31日 | 金 额 | % |
|-------|--------|---|----------------------|--------|---|
| 基  本 | $ 0.92 |  | $ 1.83 |  |  |
| 稀  释 | $ 0.91 |  | $ 1.82 |  |  |

#### 111年1月1日至3月31日
| 项目 | 金 额 | % | 110年1月1日至3月31日 | 金 额 | % |
|-------|--------|---|----------------------|--------|---|
| 基  本 | $ 0.92 |  | $ 1.83 |  |  |
| 稀  释 | $ 0.91 |  | $ 1.82 |  |  |

#### 111年1月1日至3月31日
| 项目 | 金 额 | % | 110年1月1日至3月31日 | 金 额 | % |
|-------|--------|---|----------------------|--------|---|
| 基  本 | $ 0.92 |  | $ 1.83 |  |  |
| 稀  释 | $ 0.91 |  | $ 1.82 |  |  |

#### 111年1月1日至3月31日
| 项目 | 金 额 | % | 110年1月1日至3月31日 | 金 额 | % |
|-------|--------|---|----------------------|--------|---|
| 基  本 | $ 0.92 |  | $ 1.83 |  |  |
| 稀  释 | $ 0.91 |  | $ 1.82 |  |  |

#### 111年1月1日至3月31日
| 项目 | 金 额 | % | 110年1月1日至3月31日 | 金 额 | % |
|-------|--------|---|----------------------|--------|---|
| 基  本 | $ 0.92 |  | $ 1.83 |  |  |
| 稀  释 | $ 0.91 |  | $ 1.82 |  |  |

#### 111年1月1日至3月31日
| 项目 | 金 额 | % | 110年1月1日至3月31日 | 金 额 | % |
|-------|--------|---|----------------------|--------|---|
| 基  本 | $ 0.92 |  | $ 1.83 |  |  |
| 稀  释 | $ 0.91 |  | $ 1.82 |  |  |

#### 111年1月1日至3月31日
| 项目 | 金 额 | % | 110年1月1日至3月31日 | 金 额 | % |
|-------|--------|---|----------------------|--------|---|
| 基  本 | $ 0.92 |  | $ 1.83 |  |  |
| 稀  释 | $ 0.91 |  | $ 1.82 |  |  |

#### 111年1月1日至3月31日
| 项目 | 金 额 | % | 110年1月1日至3月31日 | 金 额 | % |
|-------|--------|---|----------------------|--------|---|
| 基  本 | $ 0.92 |  | $ 1.83 |  |  |
| 稀  释 | $ 0.91 |  |
