### 财务报告

#### (三)与关系人间之重大交易事项

1. 销货

| 项目 | 111年7至9月 | 110年7至9月 |
|------|--------------|--------------|
| 商品销售 | $ 147,125 | $ 326,432 |
| - 关联企业 | $ 147,125 | $ 326,432 |
| - 其他 | 6,034 | 18,457 |
| 总计 | $ 153,159 | $ 344,889 |

| 项目 | 111年1至9月 | 110年1至9月 |
|------|--------------|--------------|
| 商品销售 | $ 527,512 | $ 742,612 |
| - 关联企业 | $ 527,512 | $ 742,612 |
| - 其他 | 19,434 | 26,193 |
| 总计 | $ 546,946 | $ 768,805 |

本集团对关系人之授信期间为货到30~90天、月结30及60天或双方议定之。

2. 进货及费用

| 项目 | 111年7至9月 | 110年7至9月 |
|------|--------------|--------------|
| 商品购买 | $ 725,437 | $ 755,587 |
| - 关联企业 | $ 725,437 | $ 755,587 |
| - 其他 | 29,627 | 23,344 |
| 劳务购买及其他支出 | $ 6,093 | $ 3,992 |
| - 关联企业 | 6,093 | 3,992 |
| - 其他 | 9,101 | 16,053 |
| 总计 | $ 770,258 | $ 798,976 |

| 项目 | 111年1至9月 | 110年1至9月 |
|------|--------------|--------------|
| 商品购买 | $ 2,207,449 | $ 2,307,314 |
| - 关联企业 | $ 2,207,449 | $ 2,307,314 |
| - 其他 | 69,722 | 77,728 |
| 劳务购买及其他支出 | $ 17,833 | $ 6,408 |
| - 关联企业 | 17,833 | 6,408 |
| - 其他 | 20,666 | 26,567 |
| 总计 | $ 2,315,670 | $ 2,418,017 |

本集团对关系人之付款期间为月结30~120天、货到45~120天以内或一至六个月。
