### 营业成本及费用

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|------|----------------------|----------------------|
| 關聯企業 | $2,142,610 | $2,037,286 |
| 其他關係人 | $1,077,661 | $3,066,125 |
| **总计** | **$3,220,271** | **$5,103,411** |

| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|----------------------|----------------------|
| 關聯企業 | $5,768,233 | $5,627,006 |
| 其他關係人 | $4,555,415 | $9,934,714 |
| **总计** | **$10,323,648** | **$15,561,720** |

**勞務係按一般商業條款和條件向關聯企業及其他關係人購買。**

### 应收关系人款项

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 应收帐款： | | | |
| 關聯企業 | $129,011 | $99,807 | $146,276 |
| 其他關係人 | 1,607,310 | 1,748,143 | 1,967,141 |
| **小計** | **$1,736,321** | **$1,847,950** | **$2,113,417** |
| 其他应收款： | | | |
| 關聯企業 | $12,300 | $5,552 | $5,483 |
| 其他關係人 | 80,900 | 84,100 | 62,273 |
| **小計** | **$93,200** | **$89,652** | **$67,756** |
| **合計** | **$1,829,521** | **$1,937,602** | **$2,181,173** |

**應收關係人款項主要來自提供勞務服務，該應收款項並無抵押及附息。應收關係人款項已提列預期損失。**

### 应付关系人款项

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 应付帐款： | | | |
| 關聯企業 | $233,567 | $577,086 | $595,167 |
| 其他關係人 | 260,285 | 92,729 | 171,516 |
| **小計** | **$493,852** | **$669,815** | **$766,683** |
| 其他应付款： | | | |
| 關聯企業 | $8,106 | $4,260 | $4,261 |
| 其他關係人 | 16,463,595 | 14,919,756 | 10,155,437 |
| **小計** | **$16,471,701** | **$14,924,016** | **$10,159,698** |
| **合計** | **$16,965,553** | **$15,593,831** | **$10,926,381** |

**應付關係人款項主要來自購買勞務之交易，該應付款項並無附息。**
