### 财务报告分析

#### 5. 资产负债表日之存入保证金关系人交易余额如下：

| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 關聯企業 | $ 34,167 | $ 16,120 | $ 13,823 |
| 其他關係人 | 284 | - | - |
| **总计** | $ 34,451 | $ 16,120 | $ 13,823 |

#### 6. 本集团向关系人购买不动产、厂房及设备之交易金额如下：

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|----------------------|
| 關聯企業 | $ 4,838 | $ 84,732 | $ 4,838 | $ 186,577 |

#### 7. 本集团向关系人购买无形资产之交易金额如下：

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|----------------------|
| 關聯企業 | $ - | $ - | $ 677 | $ - |

#### 8. 本集团处分不动产、厂房及设备之交易金额如下：

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|----------------------|
| 關聯企業 | $ - | $ - | $ - | $ - |

| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|----------------------|
| 關聯企業 | $ - | $ 9,800 | $ - | $ 1,628 |

#### 9. 承租协议

中华电信公司于99年3月12日与新加坡ST-2 Satellite Ventures Pte., Ltd.签署ST-2卫星转频器租賃契约，约定自ST-2卫星正式营运起15年为租賃期间，契约總價款约6,000,000仟元（SGD260,723仟元），已於租賃開始日前支付租金3,067,711仟元，剩餘金額於ST-2卫星開始營運後按年支付。ST-2卫星已於100年5月完成發射，並已於100年8月正式營運。ST-2卫星因使用状况良好，於110年經评估可延长耐用年限3年3个月，中华电信公司已於110年12月董事會同意依原租賃条件对應延长租賃期間，因此而取得使用权资产1,124,780仟元。
