### 联华电子股份有限公司及子公司
#### 合并现金流量表
#### 民国一一一年及一一○年一月至九月三十日
#### （经核阅，未依一般公认审计准则查核）
#### （金额均以新台币千元为单位）

| 项目 | 一一一年一月一日至九月三十日 | 一一○年一月一日至九月三十日 |
|------|-----------------------------|-----------------------------|
| 现金流量表： | | |
| 营业活动之现金流量： | | |
| 本期税前净利 | $ 81,571,096 | $ 43,629,300 |
| 调整项目： | | |
| 折旧费用 | 31,536,365 | 33,109,026 |
| 摊销费用 | 2,155,939 | 2,148,681 |
| 预期信用减损损失（利益）数 | 2,388 | (8,973) |
| 透过损益按公允价值衡量之金融资产及负债净损失（利益） | 896,807 | (2,987,600) |
| 利息费用 | 1,368,930 | 1,371,064 |
| 利息收入 | (1,022,139) | (421,764) |
| 股利收入 | (2,134,827) | (1,359,703) |
| 股份基础给付酬劳成本 | 1,116,887 | 1,360,102 |
| 接用权益法认列之关联企业及合营损失（利益）之份额 | 3,557,052 | (6,003,910) |
| 处分不动产、厂房及设备利益 | (441,140) | (71,404) |
| 处分投资损失 | - | 10,977 |
| 购回应付公司债损失 | 182,915 | - |
| 金融资产及负债兑换损失（利益） | 3,034,111 | (140,392) |
| 租约修改利益 | (1,366) | - |
| 遗延政府补助摊销 | (3,183,725) | (3,027,832) |
| 收益费损项目合计 | 37,068,197 | 23,978,272 |
| 与营业相关的资产/负债变动数： | | |
| 透过损益按公允价值衡量之金融资产及负债 | (310,252) | 353,209 |
| 合约资产 | (64,648) | (7,269) |
| 应收票据及应收账款 | (9,001,918) | (6,259,001) |
| 其他应收账款 | (602,475) | (92,475) |
| 存货 | (6,576,121) | (951,081) |
| 预付款项 | (3,048,362) | 103,602 |
| 其他流动资产 | (57,220) | 1,600 |
| 履行合约成本 | (56,070) | (239,138) |
| 合约负债 | 526,918 | 1,352,232 |
| 应付票据及帐款 | 1,559,946 | 549,512 |
| 其他应付款 | 4,641,822 | 1,487,032 |
| 其他流动负债 | 77,522 | (100,592) |
| 损益确定福利负债 | (695,221) | (464,438) |
| 其他非流动负债-其他 | (12,213) | 46,973 |
| 营运产生之现金流入 | 105,021,001 | 63,387,738 |
| 收取之利息 | 916,082 | 367,907 |
| 收取之股利 | 4,119,483 | 2,368,857 |
| 支付之利息 | (818,724) | (879,686) |
| 支付之所得税 | (4,333,087) | (1,715,121) |
| 营业活动之净现金流入 | 104,904,755 | 63,529,695 |

接下页
