### 财务报告

#### 合并损益表
**单位：新台币仟元**
**（除每股盈余为新台币元外）**

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 收入 | | |
| 4010 利息收入 | 3,679,901 | 2,856,871 |
| 4020 保費收入 | 2,225,353 | 2,004,009 |
| 4040 再保佣金收入 | 143,326 | 119,783 |
| 4050 手續費收入 | 2,665 | 2,636 |
| 4060 採用權益法認列之關聯企業及合資利益之份額 | 437,487 | 682,157 |
| 4090 透過損益按公允價值衡量之金融資產及負債利益 | 130,930 | 637,936 |
| 4105 透過其他綜合損益按公允價值衡量之金融資產已實現利益 | 24,671 | 16,870 |
| 4160 銷貨收入淨額 | 50,752,563 | 57,189,123 |
| 4161 銷貨收入 | 50,752,563 | 57,189,123 |
| 4162 銷貨退回 | 329,754 | 226,341 |
| 4163 銷貨折讓 | 1,109,438 | 867,446 |
| 4170 租賃收入 | 4,198,346 | 3,675,532 |
| 4180 勞務收入 | 519,110 | 487,688 |
| 4210 處分不動產、廠房及設備利益 | 4,358 | 9,552 |
| 4230 投資性不動產利益 | 44,217 | 39,988 |
| 4260 兌換(損)益 | 81,136 | 104,391 |
| 4270 其他收入 | 256,137 | 183,043 |
| 4245 採用覆蓋法重分類之損益 | 252,580 | 62,909 |
| 4280 未實現銷貨損益 | 44,801 | 71,765 |
| 4290 已實現銷貨損益 | 66,381 | 44,478 |
| 收入合計 | 61,172,896 | 100 | 66,825,596 | 100 |

| 支出 | | |
|------|----------------------|----------------------|
| 5010 利息費用 | 566,737 | 459,933 |
| 5030 承保費用 | 52 | 204 |
| 5040 佣金費用 | 1,470,280 | 1,184,706 |
| 5050 保險賠款與給付 | 1,106,770 | 919,344 |
| 5070 其他保險負債淨變動 | 140,504 | 298,262 |
| 5190 銷貨成本 | 42,990,379 | 49,313,308 |
| 5200 租賃成本 | 3,407,413 | 2,984,416 |
| 5210 勞務成本 | 432,229 | 323,481 |
| 5230 營業費用 | 2,410,657 | 2,097,434 |
| 5232 管理及總務費用 | 1,551,856 | 1,545,251 |
| 5233 研究發展費用 | 28,410 | 23,149 |
| 5286 投資之預期信用減損損失 | 27 | 11 |
| 5287 非投資之預期信用減損損失 | 421,618 | 293,186 |
| 5270 投資性不動產費用及損失 | 8,810 | 8,535 |
| 5320 其他支出 | 18,389 | 45,336 |
| 支出合計 | 54,554,131 | 59,496,556 |

| 6100 繼續營業單位稅前淨利 | 6,618,765 | 7,329,040 |
| 6200 所得稅費用 | 1,373,540 | 1,504,838 |
| 6500 本期淨利 | 5,245,225 | 5,824,202 |

---

**（续次页）**
