### 2. 金融资产以第3等级公允价值衡量之调节

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 期初余额 | $ 935,945 | $ 1,257,769 |
| 购买 | - | - |
| 自第3等级转出 | - | - |
| 处分 | (4,920) | (86,193) |
| 损益 | (10,669) | (56,034) |
| 期末余额 | $ 920,356 | $ 1,115,542 |

### 3. 第2等级公允价值衡量之评价技术及输入值

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 期初余额 | $ 41,205,534 | $ 42,743,672 |
| 购买 | - | - |
| 自第3等级转出 | - | - |
| 处分 | (55,266) | (20,536) |
| 损益 | 871,804 | 394,749 |
| 期末余额 | $ 42,686,308 | $ 42,009,381 |

### 4. 金融资产以第3等级公允价值衡量之调节

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 期初余额 | $ 42,141,479 | $ 44,001,441 |
| 购买 | - | - |
| 自第3等级转出 | - | - |
| 处分 | (108,790) | (1,007,741) |
| 损益 | 871,804 | 394,749 |
| 期末余额 | $ 43,606,664 | $ 43,124,923 |

### 5. 第2等级公允价值衡量之评价技术及输入值

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 期初余额 | $ 42,686,308 | $ 42,009,381 |
| 购买 | - | - |
| 自第3等级转出 | - | - |
| 处分 | (60,186) | (106,729) |
| 损益 | 712,051 | (144,328) |
| 期末余额 | $ 43,606,664 | $ 43,124,923 |

### 6. 金融资产以第3等级公允价值衡量之调节

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 期初余额 | $ 43,606,664 | $ 43,124,923 |
| 购买 | - | - |
| 自第3等级转出 | - | - |
| 处分 | (14,104) | (62,411) |
| 损益 | - | - |
| 期末余额 | $ 43,606,664 | $ 43,124,923 |

### 7. 第2等级公允价值衡量之评价技术及输入值

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 期初余额 | $ 43,606,664 | $ 43,124,923 |
| 购买 | - | - |
| 自第3等级转出 | - | - |
| 处分 | (14,104) | (62,411) |
| 损益 | - | - |
| 期末余额 | $ 43,606,664 | $ 43,124,923 |

### 8. 金融资产以第3等级公允价值衡量之调节

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 期初余额 | $ 43,606,664 | $ 43,124,923 |
| 购买 | - | - |
| 自第3等级转出 | - | - |
| 处分 | (14,104) | (62,411) |
| 损益 | - | - |
| 期末余额 | $ 43,606,664 | $ 43,124,923 |

### 9. 第2等级公允价值衡量之评价技术及输入值

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 期初余额 | $ 43,606,664 | $ 43,124,923 |
| 购买 | - | - |
| 自第3等级转出 | - | - |
| 处分 | (14,104) | (62,411) |
| 损益 | - | - |
| 期末余额 | $ 43,606,664 | $ 43,124,923 |

### 10. 金融资产以第3等级公允价值衡量之调节

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 期初余额 | $ 43,606,664 | $ 43,124,923 |
| 购买 | - | - |
| 自第3等级转出 | - | - |
| 处分 | (14,104) | (62,411) |
| 损益 | - | - |
| 期末余额 | $ 43,606,664 | $ 43,124,923 |

### 11. 第2等级公允价值衡量之评价技术及输入值

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 期初余额 | $ 43,606,664 | $ 43,124,923 |
| 购买 | - | - |
| 自第3等级转出 | - | - |
| 处分 | (14,104) | (62,411) |
| 损益 | - | - |
| 期末余额 | $ 43,606,664 | $ 43,124,923 |

### 12. 金融资产以第3等级公允价值衡量之调节

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 期初余额 | $ 43,606,664 | $ 43,124,923 |
| 购买 | - | - |
| 自第3等级转出 | - | - |
| 处分 | (14,104) | (62,411) |
| 损益 | - | - |
| 期末余额 | $ 43,606,664 | $ 43,124,923 |

### 13. 第2等级公允价值衡量
