### 财务报告

#### 111年1月1日至3月31日
| 项目 | 111年1月1日 | 110年1月1日 |
|------|--------------|--------------|
| 期初余额 | $ 161,334 | $ 40,267 |
| 本期提列（回转） | (22) | 122,755 |
| 本期冲销 | - | (544) |
| 损益差额 | 768 | (138) |
| 期末余额 | $ 162,080 | $ 162,340 |

#### 111及110年1月1日至3月31日本公司及子公司中鸿公司出售应收账款之相关资料汇总如下：

| 交易对象 | 111年1月1日 | 110年1月1日 |
|----------|--------------|--------------|
| 期初余额 | $ 8,941,958 | $ 7,264,114 |
| 本期转让与 | $ 7,405,808 | $ 6,989,352 |
| 期末余额 | $ 8,800,264 | $ 8,143,140 |

#### 111年1月1日至3月31日
| 交易对象 | 111年1月1日 | 110年1月1日 |
|----------|--------------|--------------|
| 期初余额 | $ 2,045,351 | $ 2,575,615 |
| 本期转让与 | $ 1,262,273 | $ 1,839,866 |
| 期末余额 | $ 1,636,794 | $ 1,876,465 |
| 期初余额 | $ 1,670,830 | $ 2,539,016 |
| 本期转让与 | $ 471,483 | $ 842,620 |
| 期末余额 | $ 417,569 | $ 280,021 |
| 期初余额 | $ 662,993 | $ 2,630,867 |
| 本期转让与 | $ 501,837 | $ 2,927,433 |
| 期末余额 | $ 440,1725 | $ 845,814 |
| 期初余额 | $ 979,818 | $ 542,166 |
| 本期转让与 | $ 1,539,227 | $ 201,325 |
| 期末余额 | $ 1,072,701 | $ 43,404 |
| 期初余额 | $ 18,661 | $ 758,350 |
| 本期转让与 | $ 191,080 | $ 242,645 |
| 期末余额 | $ 587,903 | $ 578,523 |
| 期初余额 | $ 29,810 | $ 67,274 |
| 本期转让与 | $ 94,741 | $ 48,612 |
| 期末余额 | $ 1,04 | $ 73,297 |
| 期初余额 | $ 34,297 | $ 14,577 |
| 本期转让与 | $ 1.60 | $ 2.270 |
| 期末余额 | $ 8,41 | $ 1.49 |

#### 110年1月1日至3月31日
| 交易对象 | 111年1月1日 | 110年1月1日 |
|----------|--------------|--------------|
| 期初余额 | $ 8,941,958 | $ 7,264,114 |
| 本期转让与 | $ 7,405,808 | $ 6,989,352 |
| 期末余额 | $ 8,800,264 | $ 8,143,140 |

#### 111年1月1日至3月31日
| 交易对象 | 111年1月1日 | 110年1月1日 |
|----------|--------------|--------------|
| 期初余额 | $ 2,045,351 | $ 2,575,615 |
| 本期转让与 | $ 1,262,273 | $ 1,839,866 |
| 期末余额 | $ 1,636,794 | $ 1,876,465 |
| 期初余额 | $ 1,670,830 | $ 2,539,016 |
| 本期转让与 | $ 471,483 | $ 842,620 |
| 期末余额 | $ 417,569 | $ 280,021 |
| 期初余额 | $ 662,993 | $ 2,630,867 |
| 本期转让与 | $ 501,837 | $ 2,927,433 |
| 期末余额 | $ 440,1725 | $ 845,814 |
| 期初余额 | $ 979,818 | $ 542,166 |
| 本期转让与 | $ 1,539,227 | $ 201,325 |
| 期末余额 | $ 1,072,701 | $ 43,404 |
| 期初余额 | $ 18,661 | $ 758,350 |
| 本期转让与 | $ 191,080 | $ 242,645 |
| 期末余额 | $ 587,903 | $ 578,523 |
| 期初余额 | $ 29,810 | $ 67,274 |
| 本期转让与 | $ 94,741 | $ 48,612 |
| 期末余额 | $ 1,04 | $ 73,297 |
| 期初余额 | $ 34,297 | $ 14,577 |
| 本期转让与 | $ 1.60 | $ 2.270 |
| 期末余额 | $ 8,41 | $ 1.49 |
