### 财务报告

#### 110年1月1日至9月30日

| 项目 | 110年1月1日余额 | 110年9月30日余额 | 111年1月1日余额 | 111年9月30日余额 |
|------|----------------|----------------|----------------|----------------|
| 普通股股本 | $ 5,106,849 | $ 5,106,849 | $ 5,106,849 | $ 5,106,849 |
| 资本公积 | $ 2,122,008 | $ 2,122,008 | $ 2,122,008 | $ 2,122,008 |
| 法定盈余公积 | $ 5,577,083 | $ 5,577,083 | $ 5,577,083 | $ 5,577,083 |
| 特别盈余公积 | $ 217,036 | $ 217,036 | $ 217,036 | $ 217,036 |
| 未分配盈余 | $ 17,992,154 | $ 22,772,213 | $ 27,377,681 | $ 26,721,175 |
| 未分配盈余 | $ 1,384,909 | $ 2,334,333 | $ 2,380,781 | $ 3,245,611 |
| 未分配盈余 | $ 29,459,081 | $ 34,578,032 | $ 38,942,651 | $ 46,627,737 |
| 未分配盈余 | $ 9,665 | $ 9,664 | $ 9,673 | $ 9,674 |
| 未分配盈余 | $ 29,468,746 | $ 34,587,696 | $ 38,952,324 | $ 46,637,411 |

#### 110年1月1日至9月30日

| 项目 | 110年1月1日余额 | 110年9月30日余额 | 111年1月1日余额 | 111年9月30日余额 |
|------|----------------|----------------|----------------|----------------|
| 普通股股本 | $ 5,106,849 | $ 5,106,849 | $ 5,106,849 | $ 5,106,849 |
| 资本公积 | $ 2,122,008 | $ 2,122,008 | $ 2,122,008 | $ 2,122,008 |
| 法定盈余公积 | $ 5,577,083 | $ 5,577,083 | $ 5,577,083 | $ 5,577,083 |
| 特别盈余公积 | $ 217,036 | $ 217,036 | $ 217,036 | $ 217,036 |
| 未分配盈余 | $ 17,992,154 | $ 22,772,213 | $ 27,377,681 | $ 26,721,175 |
| 未分配盈余 | $ 1,384,909 | $ 2,334,333 | $ 2,380,781 | $ 3,245,611 |
| 未分配盈余 | $ 29,459,081 | $ 34,578,032 | $ 38,942,651 | $ 46,627,737 |
| 未分配盈余 | $ 9,665 | $ 9,664 | $ 9,673 | $ 9,674 |
| 未分配盈余 | $ 29,468,746 | $ 34,587,696 | $ 38,952,324 | $ 46,637,411 |

#### 110年1月1日至9月30日

| 项目 | 110年1月1日余额 | 110年9月30日余额 | 111年1月1日余额 | 111年9月30日余额 |
|------|----------------|----------------|----------------|----------------|
| 普通股股本 | $ 5,106,849 | $ 5,106,849 | $ 5,106,849 | $ 5,106,849 |
| 资本公积 | $ 2,122,008 | $ 2,122,008 | $ 2,122,008 | $ 2,122,008 |
| 法定盈余公积 | $ 5,577,083 | $ 5,577,083 | $ 5,577,083 | $ 5,577,083 |
| 特别盈余公积 | $ 217,036 | $ 217,036 | $ 217,036 | $ 217,036 |
| 未分配盈余 | $ 17,992,154 | $ 22,772,213 | $ 27,377,681 | $ 26,721,175 |
| 未分配盈余 | $ 1,384,909 | $ 2,334,333 | $ 2,380,781 | $ 3,245,611 |
| 未分配盈余 | $ 29,459,081 | $ 34,578,032 | $ 38,942,651 | $ 46,627,737 |
| 未分配盈余 | $ 9,665 | $ 9,664 | $ 9,673 | $ 9,674 |
| 未分配盈余 | $ 29,468,746 | $ 34,587,696 | $ 38,952,324 | $ 46,637,411 |

#### 110年1月1日至9月30日

| 项目 | 110年1月1日余额 | 110年9月30日余额 | 111年1月1日余额 | 111年9月30日余额 |
|------|----------------|----------------|----------------|----------------|
| 普通股股本 | $ 5,106,849 | $ 5,106,849 | $ 5,106,849 | $ 5,106,849 |
| 资本公积 | $ 2,122,008 | $ 2,122,008 | $ 2,122,008 | $ 2,122,008 |
| 法定盈余公积 | $ 5,577,083 | $ 5,577,083 | $ 5,577,083 | $ 5,577,083 |
| 特别盈余公积 | $ 217,036 | $ 217,036 | $ 217,036 | $ 217,036 |
| 未分配盈余 | $ 17,992,154 | $ 22,772,213 | $ 27,377,681 | $ 26,721,175 |
|
