### 财务报告表格数据输出

#### Markdown表格格式

| 投资公司 | 子公司 | 業務性質 | 111年3月31日 | 110年12月31日 | 110年3月31日 | 說明 |
|----------|--------|----------|--------------|---------------|--------------|------|
| 37.      | DHK、DNHK/DNHK | 達創科技(東莞)有限公司（達創東莞） | 100.00 | 100.00 | 100.00 | （註21） |
| 38.      | 乾坤 | Fairview Assets Ltd.（Fairview） | 100.00 | 100.00 | 100.00 |  |
| 39.      | Fairview | Grandview Holding Ltd.（Grandview） | 100.00 | 100.00 | 100.00 |  |
| 40.      | Grandview | CYNTEC HOLDING（HK）LIMITED（CHK） | 100.00 | 100.00 | 100.00 |  |
| 41.      |  | Cyntec International Ltd.（CIL-Labuan） | 100.00 | 100.00 | 100.00 |  |
| 42.      | CHK | 吳江華豐電子科技有限公司（華豐） | 100.00 | 100.00 | 100.00 |  |
| 43.      | 達爾 | 蘇州爾達醫療設備有限公司（蘇州爾達） | 100.00 | 100.00 | 100.00 | （註1）（註2） |
| 44.      | DIH | ELTEK AS | 100.00 | 100.00 | 100.00 |  |

#### 文本输出

| 投资公司 | 子公司 | 業務性質 | 111年3月31日 | 110年12月31日 | 110年3月31日 | 說明 |
|----------|--------|----------|--------------|---------------|--------------|------|
| 37.      | DHK、DNHK/DNHK | 達創科技(東莞)有限公司（達創東莞） | 100.00 | 100.00 | 100.00 | （註21） |
| 38.      | 乾坤 | Fairview Assets Ltd.（Fairview） | 100.00 | 100.00 | 100.00 |  |
| 39.      | Fairview | Grandview Holding Ltd.（Grandview） | 100.00 | 100.00 | 100.00 |  |
| 40.      | Grandview | CYNTEC HOLDING（HK）LIMITED（CHK） | 100.00 | 100.00 | 100.00 |  |
| 41.      |  | Cyntec International Ltd.（CIL-Labuan） | 100.00 | 100.00 | 100.00 |  |
| 42.      | CHK | 吳江華豐電子科技有限公司（華豐） | 100.00 | 100.00 | 100.00 |  |
| 43.      | 達爾 | 蘇州爾達醫療設備有限公司（蘇州爾達） | 100.00 | 100.00 | 100.00 | （註1）（註2） |
| 44.      | DIH | ELTEK AS | 100.00 | 100.00 | 100.00 |  |
