### 销售收入

| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|---------------------|---------------------|
| 关联企业 | $19,045,817 | $21,590,215 |
| 桃苗 | 17,459,320 | 19,680,741 |
| 北都 | 12,990,299 | 15,627,906 |
| 国都 | 11,373,269 | 14,906,164 |
| 其他 | 28,933,525 | 32,288,044 |
| 主要管理层控制之个体 | 78,041 | 83,989 |
| 总计 | $89,880,271 | $104,177,059 |

### 租金收入

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|---------------------|---------------------|
| 关联企业 | $35,900 | $35,608 |
| 主要管理层控制之个体 | 2,800 | 2,431 |
| 总计 | $38,700 | $38,039 |

### 租金收入

| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|---------------------|---------------------|
| 关联企业 | $112,734 | $108,505 |
| 主要管理层控制之个体 | 7,954 | 7,293 |
| 总计 | $120,688 | $115,798 |

### 劳务收入

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|---------------------|---------------------|
| 劳务销售 | $16,803 | $8,551 |
| 主要管理层控制之个体 | 9,710 | 716 |
| 某务委托收入 | 5,949 | 4,239 |
| 总计 | $32,462 | $13,506 |
