### 财务报告

#### 1. 劳务收入
| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|---------------------|---------------------|
| 劳务销售： | | |
| - 关联企业 | $43,866 | $27,914 |
| - 主要管理层控制之个体 | $27,083 | $25,678 |
| 業務委託收入： | | |
| - 关联企业 | $18,068 | $17,431 |
| 总计 | $89,017 | $71,023 |

#### 2. 分期付款价差补贴收入
| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|---------------------|---------------------|
| 分期付款价差补贴收入： | | |
| - 关联企业 | $58,230 | $90,991 |
| 总计 | $192,295 | $215,141 |

#### 3. 保固收入
| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|---------------------|---------------------|
| 保固收入（帐列销货成本减项）： | | |
| - 关联企业 | $31,557 | $31,880 |
| - 主要管理层控制之个体 | $80,723 | $96,007 |
| 其他 | $30 | $936 |
| 总计 | $112,310 | $128,823 |

#### 4. 保固收入
| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|---------------------|---------------------|
| 保固收入（帐列销货成本减项）： | | |
| - 关联企业 | $87,697 | $101,892 |
| - 主要管理层控制之个体 | $215,311 | $267,473 |
| 其他 | $384 | $959 |
| 总计 | $303,392 | $370,324 |

### 总计
| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|---------------------|---------------------|
| 总计 | $89,017 | $71,023 |
| 总计 | $192,295 | $215,141 |
| 总计 | $112,310 | $128,823 |
| 总计 | $303,392 | $370,324 |
