### 财务报告 - 支出

#### 2. 支出

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| (1) 商品购买： | | |
| - 关联企业 | | |
| 国瑞 | $15,266,727 | $12,024,333 |
| 其他 | 689,518 | 558,720 |
| - 主要管理层控制之个体 | | |
| TMC | 8,415,703 | 7,334,698 |
| 其他 | 6,132,235 | 4,869,699 |
| 总计 | $30,504,183 | $24,787,450 |
| 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|----------------------|----------------------|
| 商品购买： | | |
| - 关联企业 | | |
| 国瑞 | $44,440,908 | $45,650,093 |
| 其他 | 1,901,506 | 1,719,619 |
| - 主要管理层控制之个体 | | |
| TMC | 26,425,131 | 33,570,549 |
| 其他 | 14,845,638 | 16,145,901 |
| 总计 | $87,613,183 | $97,086,162 |

#### 本公司及子公司销售之国产车均系向国瑞购入，进口车及进口零件均系向TMC、HINO、丰田中国投资、TMAP、TMS及TME等购入，付款条件请参阅附注十三(一)重大交易事项相关资讯附表六说明。

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| (2) 保固成本： | | |
| - 关联企业 | | |
| 国都 | $35,712 | $32,580 |
| 中部 | 34,560 | 29,341 |
| 桃苗 | 30,120 | 23,785 |
| 南都 | 20,631 | 18,085 |
| 高都 | 19,223 | 17,642 |
| 北都 | 19,760 | 17,745 |
| 其他 | 4,119 | 3,086 |
| - 主要管理层控制之个体 | | |
| 总计 | - | 344 |
| 总计 | $164,125 | $142,608 |

### Markdown表格格式

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| (1) 商品购买： | | |
| - 关联企业 | | |
| 国瑞 | $15,266,727 | $12,024,333 |
| 其他 | 689,518 | 558,720 |
| - 主要管理层控制之个体 | | |
| TMC | 8,415,703 | 7,334,698 |
| 其他 | 6,132,235 | 4,869,699 |
| 总计 | $30,504,183 | $24,787,450 |
| 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|----------------------|----------------------|
| 商品购买： | | |
| - 关联企业 | | |
| 国瑞 | $44,440,908 | $45,650,093 |
| 其他 | 1,901,506 | 1,719,619 |
| - 主要管理层控制之个体 | | |
| TMC | 26,425,131 | 33,570,549 |
| 其他 | 14,845,638 | 16,145,901 |
| 总计 | $87,613,183 | $97,086,162 |

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| (2) 保固成本： | | |
| - 关联企业 | | |
| 国都 | $35,712 | $32,580 |
| 中部 | 34,560 | 29,341 |
| 桃苗 | 30,120 | 23,785 |
| 南都 | 20,631 | 18,085 |
| 高都 | 19,223 | 17,642 |
| 北都 | 19,760 | 17,745 |
| 其他 | 4,119 | 3,086 |
| - 主要管理层控制之个体 | | |
| 总计 | - | 344 |
| 总计 | $164,125 | $142,608 |
