```markdown
# 十九、無形資產－淨額

| 成本 | 商譽 | 專利權 | 專利使用權 | 客戶關係 | 電腦軟體 | 其他無形資產 | 合計 |
|------|------|--------|------------|----------|----------|--------------|------|
| 112年1月1日餘額 | $15,040,431 | $92,605 | $2,695,878 | $163,819 | $1,700,997 | $1,254,131 | $20,947,861 |
| 增加 | - | 403 | 500 | - | 82,550 | 2,051 | 85,504 |
| 減少 | - | - | - | - | (21,788) | (21,335) | (43,123) |
| 重分類 | - | - | - | - | 20,357 | (84) | 20,273 |
| 淨兌換差額 | - | 46 | - | - | - | 10 | 1,817 |
| 112年9月30日餘額 | $15,040,431 | $93,054 | $2,696,378 | $163,819 | $1,782,126 | $1,236,580 | $21,012,388 |

| 累計攤銷 | | | | | | | |
|------|------|--------|------------|----------|----------|--------------|------|
| 112年1月1日餘額 | $77,234 | $60,174 | $2,695,878 | $163,819 | $1,471,806 | $1,237,661 | $5,706,572 |
| 增加 | - | 10,243 | 50 | - | 109,247 | 6,961 | 126,501 |
| 減少 | - | - | - | - | (21,777) | (21,335) | (43,112) |
| 重分類 | - | - | - | - | 84 | (84) | - |
| 淨兌換差額 | - | - | - | - | - | 33 | 1,304 |
| 112年9月30日餘額 | $77,234 | $70,417 | $2,695,928 | $163,819 | $1,559,393 | $1,224,507 | $5,791,298 |

| 累計減損 | | | | | | | |
|------|------|--------|------------|----------|----------|--------------|------|
| 112年1月1日餘額 | $11,538,064 | $- | $- | $- | $10,704 | $- | $11,548,768 |
| 減少 | - | - | - | - | (11) | - | (11) |
| 淨兌換差額 | - | - | - | - | - | - | - |
| 112年9月30日餘額 | $11,538,064 | $- | $- | $- | $10,692 | $- | $11,548,756 |

| 111年12月31日及 | | | | | | | |
|------|------|--------|------------|----------|----------|--------------|------|
| 112年1月1日餘額 | $3,425,133 | $32,431 | $- | $- | $218,487 | $16,470 | $3,692,521 |
| 112年9月30日餘額 | $3,425,133 | $22,637 | $450 | $- | $212,041 | $12,073 | $3,672,334 |

| 成本 | | | | | | | |
|------|------|--------|------------|----------|----------|--------------|------|
| 111年1月1日餘額 | $15,040,431 | $70,399 | $2,695,878 | $163,819 | $1,575,909 | $1,313,432 | $20,859,868 |
| 增加 | - | - | - | - | 110,904 | 4,887 | 115,791 |
| 減少 | - | - | - | - | (2,997) | (3,819) | (6,816) |
| 重分類 | - | - | - | - | 5,842 | (4) | 5,838 |
| 淨兌換差額 | - | 40 | - | - | - | 5,593 | 7,078 |
| 111年9月30日餘額 | $15,040,431 | $70,439 | $2,695,878 | $163,819 | $1,695,251 | $1,321,574 | $20,987,392 |

| 累計攤銷 | | | | | | | |
|------|------|--------|------------|----------|----------|--------------|------|
| 111年1月1日餘額 | $77,234 | $53,225 | $2,695,878 | $163,819 | $1,349,284 | $1,295,613 | $5,635,053 |
| 增加 | - | 4,755 | - | - | 102,227 | 6,382 | 113,364 |
| 減少 | - | - | - | - | (2,997) | (3,819) | (6,816) |
| 重分類 | - | - | - | - | 4 | (4) | - |
| 淨兌換差額 | - | - | - | - | - | 4,003 | 4,986 |
| 111年9月30日餘額 | $77,234 | $57,980 | $2,695,878 | $163,819 | $1,452,521 | $1,303,158 | $5,750,590 |

| 累計減損 | | | | | | | |
|------|------|--------|------------|----------|----------|--------------|------|
| 111年1月1日餘額 | $11,538,064 | $- | $- | $- | $11,075 | $- | $11,549,139 |
| 淨兌換差額 | - | - | - | - | - | 32 | - |
| 111年9月30日餘額 | $11,538,064 | $- | $- | $- | $10,107 | $- | $11,549,171 |

| 111年9月30日淨額 | $3,425,133 | $12,459 | $- | $- | $231,623 | $18,416 | $3,687,631 |

(一) 上述有限耐用年限無形資產係以直線基礎按下列耐用年
