```markdown
| 投资公司名称 | 子公司名称 | 业务性质 | 所持股股权百分比 |
| --- | --- | --- | --- |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 矿 | 47.5 |
| 台泥（英德）水泥有限公司 | 潮州赛德混凝土有限公司 | 混凝土销售 | 100.0 |
| 台泥（英德）水泥有限公司 | 潮州赛德水泥有限公司 | 水泥制造及分销 | 10.0 |
| 台泥（英德）水泥有限公司 | 潮州赛德水泥有限公司 | 水泥制造及分销 | 10.0 |
| 台泥（英德）水泥有限公司 | 合江赛德水泥有限公司 | 水泥制造及分销 | 10.0 |
| 台泥（英德）水泥有限公司 | 北京台泥环保科技有限公司 | 技术开发、企业管理及销售相关业务 | 100.0 |
| 台泥（英德）水泥有限公司 | 台泥（杭州）环保公司 | 环保、水泥、企业管理咨询相关业务 | 25.1 |
| 江苏台泥矿业工程有限公司 | 英德台泥矿业工程有限公司 | 矿 | 16.3 |
| 台泥（怀化）水泥有限公司 | 靖州台泥水泥有限公司 | 水泥制造及分销 | 100.0 |
| 台泥（怀化）水泥有限公司 | 怀化台泥混凝土有限公司 | 预拌混凝土销售 | 100.0 |
| UPPV | Wayly Holdings Ltd. | 投资控股 | 100.0 |
| UPPV | TCC International (China) Co., Ltd. | 投资控股 | 100.0 |
| UPPV | Kong On Cement Holdings Ltd. | 投资控股 | 65.0 |
| UPPV | Mega East Ltd. | 投资控股 | 100.0 |
| UPPV | 昌兴矿业（中国）有限公司 | 投资控股 | 100.0 |
| UPPV | Sure Kit Ltd. | 投资控股 | 100.0 |
| UPPV | Hensford Ltd. | 投资控股 | 100.0 |
| UPPV | Kiton Ltd. | 投资控股 | 100.0 |
| UPPV | Prosperity Cement Investment Ltd. | 投资控股 | 100.0 |
| UPPV | Scitus Cement (China) Holdings Ltd. (Scitus Holdings) | 投资控股 | 100.0 |
| Wayly Holdings Ltd. | 贵州凯里瑞安建材有限公司 | 水泥制造及分销 | 100.0 |
| TCC International (China) Co., Ltd. | 新台泥（杭州）企业管理有限公司 | 管理 | 100.0 |
| Kong On Cement Holdings Ltd. | 贵州港安水泥有限公司 | 水泥制造及分销 | 100.0 |
| Mega East Ltd. | 广安昌兴水泥有限公司 | 水泥制造及分销 | 100.0 |
| Sure Kit Ltd. | 台泥（重庆）水泥有限公司 | 水泥制造及分销 | 100.0 |
| Hensford Ltd. | 台泥（安顺）水泥有限公司 | 水泥制造及分销 | 100.0 |
| Kiton Ltd. | 台泥（遂宁）水泥有限公司 | 水泥制造及分销 | 100.0 |
| Prosperity Cement Investment Ltd. | 英德龙山水泥有限责任公司 | 水泥制造及分销 | 100.0 |
| 台泥（安顺）水泥有限公司 | 安顺鑫台建材骨料有限公司 | 砂石筛选及预拌混凝土销售 | 100.0 |
| 新台泥（杭州）企业管理有限公司 | 凯里台泥环保科技有限公司 | 废弃物之清除及处理 | 16.7 |
| Scitus Holdings | Scitus Cement (China) Operating Company Ltd. | 投资控股 | 100.0 |
| Scitus Holdings | Hexagon XIV Holdings Ltd. | 投资控股 | 100.0 |
| Scitus Holdings | Hexagon XIII Holdings Ltd. | 投资控股 | 100.0 |
| Scitus Holdings | Hexagon IX Holdings Ltd. | 投资控股 | 100.0 |
| Scitus Holdings | Hexagon VIII Holdings Ltd. | 投资控股 | 100.0 |
```
