```markdown
# 台灣水泥股份有限公司及子公司
## 合併綜合損益表
### 民國 111 年及 110 年 1 月 1 日至 3 月 31 日
#### （僅經核閱，未依一般公認審計準則查核）

| 代 碼 | 金額 | % | 代 碼 | 金額 | % |
| --- | --- | --- | --- | --- | --- |
| 4000 | $ 22,973,461 | 100 | 4000 | $ 22,037,652 | 100 |
| 5000 | 營業成本（附註十二、二二、二四及三一） | 20,977,100 | 91 | 16,512,812 | 75 |
| 5900 | 營業毛利 | 1,996,361 | 9 | 5,524,840 | 25 |
| 6100 | 推銷費用 | 202,622 | 1 | 173,130 | 1 |
| 6200 | 管理費用 | 1,448,902 | 6 | 1,144,134 | 5 |
| 6300 | 研究發展費用 | 137,214 | 1 | - | - |
| 6000 | 營業費用合計 | 1,788,738 | 8 | 1,317,264 | 6 |
| 6900 | 營業淨利 | 207,623 | 1 | 4,207,576 | 19 |
| 7060 | 採用權益法認列之關聯企業及合資損益份額（附註十四） | 622,247 | 3 | 714,592 | 3 |
| 7100 | 利息收入 | 372,039 | 1 | 354,116 | 2 |
| 7130 | 股利收入 | 405,293 | 2 | - | - |
| 7190 | 其他收入 | 81,506 | - | 135,434 | 1 |
| 7210 | 處分不動產、廠房及設備利益（損失） | 37,346 | - | (5,574) | - |
| 7630 | 外幣兌換淨益（損） | 404,744 | 2 | (21,281) | - |
| 7050 | 財務成本（附註二四） | (525,210) | (2) | (417,888) | (2) |
| 7590 | 其他支出 | (191,246) | (1) | (107,774) | (1) |
| 7635 | 透過損益按公允價值衡量金融資產及負債之淨損 | (242,231) | (1) | (4,128) | - |
| 7000 | 營業外收入及支出合計 | 964,488 | 4 | 647,497 | 3 |

(接次頁)
```
