### 财务报告

#### 投资公司名称
| 投资公司名称 | 子公司名称 | 持股比例（%） | 说明 |
|--------------|------------|----------------|------|
| 光宝科技（江苏）有限公司 | 光宝医疗器械（常州）有限公司 | 100.00 | 医疗器械设备之生产及销售 |
| 光宝科技（江苏）有限公司 | 常州光林新能源贸易有限公司 | 100.00 | 路灯、交通信号灯、室内外景观灯、照明灯、新型电子元器件、零件国内采购、批发、进出口业务及安装施工 |
| 光宝汽车电子（常州）有限公司 | 光宝汽车电子（常州）有限公司 | 100.00 | 电子产品的加工、制造及销售 |
| 光宝汽车电子（常州）有限公司 | 光宝汽车电子（常州）有限公司 | 100.00 | 太阳能系统工程 |
| 光宝汽车电子（常州）有限公司 | 光宝汽车电子（常州）有限公司 | 100.00 | 生产销售电脑主机及其配件、键盘、扫描器、印表机及滑鼠 |
| 光宝力信科技（赣州）有限公司 | 光宝力信科技（赣州）有限公司 | 100.00 | 生产销售各种新型电子元件、电力电子器件 |
| LITE-ON TECHNOLOGY USA, INC. | LITE-ON, INC. | 100.00 | 光电产品及电源供应器之销售资料处理事业 |
| LITE-ON TRADING USA, INC. | LITE-ON TRADING USA, INC. | 100.00 | 3C产品及光电产品等之销售 |
| LEOTEK ELECTRONICS USA LLC | LEOTEK ELECTRONICS USA LLC | 100.00 | 销售发光二极管应用产品 |
| POWER INNOVATIONS INTERNATIONAL, INC. | POWER INNOVATIONS INTERNATIONAL, INC. | 100.00 | 電源控制及能源管理之技术开发、设计和制造 |
| LITE-ON TECHNOLOGY SERVICE, INC. | LITE-ON TECHNOLOGY SERVICE, INC. | 100.00 | 3C产品及光电产品等之售後服务 |
| Lite-On International Holding Co., Ltd. | Lite-On International Holding Co., Ltd. | 100.00 | 一般投资业 |
| LITE-ON SINGAPORE PTE. LTD. | LITE-ON SINGAPORE PTE. LTD. | 100.00 | 生产和销售新型电子零件、电力电子零件 |
| 光宝科技（上海）有限公司 | 光宝科技（上海）有限公司 | 100.00 | 节能设备之生产及销售 |
