### 111年12月31日

| 项目 | 第1等級 | 第2等級 | 第3等級 | 合計 |
|------|----------|----------|----------|------|
| 透過損益按公允價值衡量之金融資產 | | | | |
| 衍生工具 | $ - | $2,799,938 | $ - | $2,799,938 |
| 基金受益憑證 | - | 597,647 | - | 597,647 |
| 國外上市（櫃）股票 | 556,171 | - | - | 556,171 |
| 國內上市（櫃）股票 | 10,045 | - | - | 10,045 |
| 國外可轉換特別股 | - | - | 298,805 | 298,805 |
| 合計 | $566,216 | $3,397,585 | $298,805 | $4,262,606 |

| 透過其他綜合損益按公允價值衡量之金融資產 | | | | |
|------|----------|----------|----------|------|
| 權益工具投資 | | | | |
| 國外未上市（櫃）股票 | $ - | $ - | $1,231,079 | $1,231,079 |
| 國內上市（櫃）股票及興櫃股票 | 309,030 | - | - | 309,030 |
| 國內創新板上市股票 | - | 421,780 | - | 421,780 |
| 國內未上市（櫃）股票 | - | - | 23,435 | 23,435 |
| 合計 | $309,030 | $421,780 | $1,254,514 | $1,985,324 |

| 透過損益按公允價值衡量之金融負債 | | | | |
|------|----------|----------|----------|------|
| 衍生工具 | $ - | $253,441 | $ - | $253,441 |

### 111年3月31日

| 项目 | 第1等級 | 第2等級 | 第3等級 | 合計 |
|------|----------|----------|----------|------|
| 透過損益按公允價值衡量之金融資產 | | | | |
| 衍生工具 | $ - | $1,946,950 | $ - | $1,946,950 |
| 基金受益憑證 | - | 287,072 | - | 287,072 |
| 國外上市（櫃）股票 | 811,237 | - | - | 811,237 |
| 國內上市（櫃）股票 | 16,050 | - | - | 16,050 |
| 結構式存款 | - | 5,683,438 | - | 5,683,438 |
| 合計 | $827,287 | $7,917,460 | $ - | $8,744,747 |

| 透過其他綜合損益按公允價值衡量之金融資產 | | | | |
|------|----------|----------|----------|------|
| 權益工具投資 | | | | |
| 國外未上市（櫃）股票 | $ - | $ - | $1,893,202 | $1,893,202 |
| 國內上市（櫃）股票 | 179,243 | - | - | 179,243 |
| 國內未上市（櫃）股票 | - | - | 16,133 | 16,133 |
| 合計 | $179,243 | $ - | $1,909,335 | $2,088,578 |

| 透過損益按公允價值衡量之金融負債 | | | | |
|------|----------|----------|----------|------|
| 衍生工具 | $ - | $477,633 | $ - | $477,633 |

### 112年及111年1月1日至3月31日無第1等級與第2等級公允價值衡量間移轉之情形。
