### 财务报告分析

#### 一、按摊销后成本衡量之金融资产相关信用风险管理及减损评估资讯

#### 二、按摊销后成本衡量之金融资产质押之资讯

#### 十、债务工具投资之信用风险管理

#### 合并公司投资之债务工具为按摊销后成本衡量之金融资产：

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 总帐面金额 | $ 656,622 | $ 465,790 | $ 294,814 |
| 债抵损失 | - | - | - |
| 摊销后成本 | $ 656,622 | $ 465,790 | $ 294,814 |

#### 为减轻信用风险，合并公司管理阶层指派专责团队建置信用评等资料库，以评估按摊销后成本衡量之金融资产违约风险。信用评等资料除采用可得之独立评等机构评等资讯外，亦就无外部评等资讯之项目参酌公开可得之财务资讯给予适当内部评等。

#### 十一、应收账款、帐款－净额及其他应收款

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 应收票据 | $ 729,684 | $ 609,573 | $ 625,284 |
| 应收帐款 | $ 31,356,470 | $ 38,908,084 | $ 38,565,433 |
| 按摊销后成本衡量 | $ 30,422,894 | $ 38,127,682 | $ 38,098,764 |

#### (一) 应收票据

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 未逾期 | $ 729,684 | $ 609,573 | $ 625,284 |

#### 以上係以逾期天数为基准进行之帐龄分析。

### Markdown表格格式

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 总帐面金额 | $ 656,622 | $ 465,790 | $ 294,814 |
| 债抵损失 | - | - | - |
| 摊销后成本 | $ 656,622 | $ 465,790 | $ 294,814 |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 总帐面金额 | $ 31,356,470 | $ 38,908,084 | $ 38,565,433 |
| 债抵损失 | (933,576) | (780,402) | (466,669) |
| 摊销后成本 | $ 30,422,894 | $ 38,127,682 | $ 38,098,764 |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 总帐面金额 | $ 729,684 | $ 609,573 | $ 625,284 |
| 债抵损失 | - | - | - |
| 摊销后成本 | $ 729,684 | $ 609,573 | $ 625,284 |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 未逾期 | $ 729,684 | $ 609,573 | $ 625,284 |
