### 财务报告

#### 流动负债
| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| 短期借款 | $ 70,344,783 | $ 66,766,240 | $ 49,921,741 |
| 应付短期票券 | 107,191,894 | 104,861,342 | 89,360,359 |
| 透过损益按公允价值衡量之金融负债－流动 | 11,656 | 27,780 | 6,429 |
| 避险之金融负债 | 707,700 | 578,276 | 385,735 |
| 合约负债－流动 | 1,418,341 | 1,371,251 | 1,296,918 |
| 应付票据 | 771,484 | 783,316 | 754,127 |
| 应付帐款 | 9,437,793 | 8,794,001 | 10,646,011 |
| 应付费用 | 6,246,176 | 6,957,640 | 5,597,244 |
| 其他应付款 | 12,582,226 | 1,407,173 | 10,562,785 |
| 应付佣金 | 526,083 | 545,799 | 420,632 |
| 应付再保往来款项 | 824,835 | 586,589 | 685,340 |
| 应付保险赔款与给付 | 32,022 | 41,741 | 34,241 |
| 本期所得税负债 | 4,804,926 | 3,671,592 | 3,722,260 |
| 预收款项 | 196,134 | 252,312 | 141,929 |
| 按到期长期负债（一年或一营业周期内到期长期负债） | 16,508,364 | 13,579,045 | 11,799,937 |
| 租赁负债－流动 | 419,278 | 422,689 | 313,852 |
| 其他流动负债 | 65 | 72 | 98 |

#### 流动负债总计
| 项目 | 251,647,853 | 228,379,527 | 202,156,930 |

#### 非流动负债
| 项目 | 26,748,285 | 26,767,292 | 23,032,634 |

#### 负债总计
| 项目 | 278,396,138 | 255,146,819 | 225,189,564 |

#### 归属于母公司股东之权益
| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 股本 | 5,461,792 | 5,461,792 | 5,461,792 |
| 普通股股本 | 5,461,792 | 5,461,792 | 5,461,792 |
| 资本公积 | 2,926,579 | 2,807,477 | 2,818,336 |
| 保留盈余 | 13,925,963 | 13,925,963 | 12,544,333 |
| 法定盈余公积 | 381,843 | 381,843 | 381,843 |
| 特别盈余公积 | 41,314,540 | 47,944,833 | 38,057,124 |
| 其他权益 | 3,852,385 | 3,248,943 | 2,075,099 |

#### 归属于母公司股东之权益总计
| 项目 | 67,863,102 | 73,770,851 | 61,338,527 |

#### 非控制权益
| 项目 | 22,036,426 | 20,695,114 | 19,529,265 |

#### 权益总计
| 项目 | 89,899,528 | 94,465,965 | 80,867,792 |

#### 负债及权益总计
| 项目 | $ 368,295,666 | $ 349,612,784 | $ 306,057,356 |

---

**后附合併財務報表附註為本合併財務報告之一部分，請併同參閱。**

---

**董事長：黃南光**
