### 财务报告分析

#### 1. 综合损益表

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|------|---------------------|---------------------|
| 继续营业单位本期净利 | $131,307 | $189,841 |
| 其他综合损益（税后净额） | $40,307 | $89,490 |
| 综合损益总额 | $171,614 | $279,331 |

| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|---------------------|---------------------|
| 继续营业单位本期净利 | $303,036 | $274,657 |
| 其他综合损益（税后净额） | $46,839 | $122,379 |
| 综合损益总额 | $349,875 | $397,036 |

#### 2. 关联企业公允价值

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 关联企业之公允价值 | $5,780,812 | $3,911,446 | $3,798,397 |

#### 3. 权益法投资

- 民国112年及111年第三季财务报表经会计师核阅外，其余部分被投资公司同期间自编未经会计师核阅之财务报告计算而得。
- 民国112年及111年9月30日，未经会计师核阅之采用权益法之投资余额分别为$3,518,427及$3,241,199。
- 民国112年及111年7月1日至9月30日及民国112年及111年1月1日至9月30日所认列之综合损益总额分别为$107,228、$140,997、$185,611及$258,711。

#### 4. 不动产、厂房及设备

| 项目 | 自有土地 | 建筑物 | 机器设备 | 办公设备 | 其他设备 | 未完工程及待验设备 | 合计 |
|------|----------|--------|----------|----------|----------|------------------|------|
| 112年1月1日 | $3,078,714 | $8,444,047 | $2,283,830 | $954,826 | $2,190,489 | $991,827 | $17,943,733 |
| 累计折旧及减损 | - | (3,153,349) | (1,445,966) | (769,670) | (1,535,353) | - | (6,904,338) |
| 112年1月1日 | $3,078,714 | $5,290,698 | $837,864 | $185,156 | $655,136 | $991,827 | $11,039,395 |
| 增添 | - | 403,127 | 186,743 | 52,355 | 119,452 | 74,737 | 836,414 |
| 处分 | - | (1,451) | (321) | (4,289) | (573) | - | (6,634) |
| 折旧费用 | - | 165,769 | 112,696 | 57,266 | 154,964 | - | (490,695) |
| 重分类 | - | 957,007 | 19,012 | 948 | 26,403 | (950,758) | 52,612 |
| 外币兑换差额 | 426 | 4,119 | (261) | 1,965 | (1,480) | 3,201 | 7,970 |
| 112年9月30日 | $3,079,140 | $6,487,731 | $930,341 | $178,869 | $643,974 | $119,007 | $11,439,062 |
| 112年9月30日 | $3,079,140 | $9,768,507 | $2,386,806 | $871,074 | $2,216,836 | $119,007 | $18,441,370 |
| 累计折旧及减损 | - | (3,280,776) | (1,456,465) | (692,205) | (1,572,862) | - | (7,002,308) |
| 112年9月30日 | $3,079,140 | $6,487,731 | $930,341 | $178,869 | $643,974 | $119,007 | $11,439,062 |

### 结论
通过对财务报告的分析，我们可以看到公司在112年7月至9月期间的综合损益总额为$171,614，而在111年同期为$279,331。这表明公司在112年期间的业绩有所下降。此外，关联企业公允价值在112年9月30日为$5,780,812，而在111年12月31日为$3,911,446，显示出一定的增长。权益法投资方面，公司在112年及111年期间的余额分别为$3,518,427及$3,241,199，显示出一定的投资增长。在不动产、厂房及设备方面，公司在112年9月30日的总价值为$11,439,062，而在112年1月1日为$17,943,733，显示出一定的资产减少。
