# 财务报告

## 营业活动之现金流量

| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|---------------------|---------------------|
| 本期税前净利 | $15,838,291 | $24,989,576 |
| 不影响现金流量之收益费用项目 | | |
| 折旧费用（含投资性不动产及使用权资产） | 1,654,599 | 1,594,341 |
| 摊销费用 | 395,439 | 358,494 |
| 预期信用减损（利益）损失 | 299,168 | 801,391 |
| 透过损益按公允价值衡量金融资产及负债之净损（益） | (2,209,034) | (8,055,542) |
| 接受权益法之关联企业及合资利益之份额 | (940,820) | (2,002,236) |
| 利息收入 | (2,008,820) | (544,434) |
| 股利收入 | (2,919,014) | (3,162,521) |
| 处分及报废不动产、厂房及设备损失（利益） | (5,720) | (456,874) |
| 处分投资（利益）损失 | 23,706 | 313,074 |
| 非金融资产（回转利益）减损损失 | 6,772 | (432,720) |
| 利息费用 | 568,152 | 502,432 |
| 其他项目 | 21,971 | 40,214 |
| 与营业活动相关之资产/负债变动数 | | |
| 透过损益按公允价值衡量之金融资产 | 6,081,193 | 9,212,113 |
| 应收票据 | 1,836,555 | 6,432,391 |
| 应收帐款 | (14,486,604) | (9,767,097) |
| 其他应收款 | 556,537 | 3,668,052 |
| 存货 | 15,947,150 | (17,924,506) |
| 预付款项 | 296,600 | 2,194,796 |
| 其他流动资产 | (329,810) | 29,174 |
| 透过损益按公允价值衡量之金融负债 | (3,471,391) | 1,061,204 |
| 合约负债 | 95,847 | 423,558 |
| 应付票据及帐款 | 13,222,113 | 31,223,122 |
| 其他应付款-应付费用 | (8,748) | (8,482,131) |
| 负债准备 | 1,443,670 | 6,070,185 |
| 退款负债 | 5,482,759 | 1,692,944 |
| 其他流动负债 | (366,677) | 880,860 |
| 其他营业负债 | 18,551 | (11,809) |
| 收取之利息 | 2,000,284 | 537,009 |
| 支付之利息 | (579,740) | (394,201) |
| 支付所得税 | (2,887,204) | (15,050,752) |
| 营业活动之净现金流入（流出） | 35,575,775 | (56,709,067) |

## 投资活动之现金流量

| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|---------------------|---------------------|
| 取得按摊销后成本衡量之金融资产 | (821,298) | (416,200) |
| 处分按摊销后成本衡量之金融资产 | 602,883 | 140,464 |
| 取得采用权益法之投资 | (19,211) | (835,127) |
| 处分采用权益法之投资 | 4,831 | 441,012 |
| 取得不流动资产、厂房及设备 | (1,386,177) | (1,018,881) |
| 处分不流动资产、厂房及设备 | 199,611 | 257,890 |
| 取得投资性不流动资产 | (133,316) | (313,916) |
| 取得无形资产 | (314,078) | (201,102) |
| 其他非流动资产变动 | (236,496) | (315,756) |
| 收取之股利 | 4,520,454 | 4,572,095 |
| 对子公司之收购（扣除所取得之现金） | 754,136 | - |
| 其他投资项目 | (54,995) | (77,251) |
| 投资活动之净现金流入（流出） | 3,116,344 | 2,233,228 |

## 筹资活动之现金流量

| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|---------------------|---------------------|
| 短期借款增加（减少） | (28,418,566) | 47,673,295 |
| 偿还长期借款 | (7,721) | (7,914) |
| 发放现金股利 | (11,141,404) | (31,195,932) |
| 租赁负债本金偿还 | (478,104) | (421,235) |
| 非控制权益变动 | (1,314,004) | (996,694) |
| 其他筹资项目 | 490,429 | 76,449 |
| 筹资活动之净现金流入（流出） | (40,869,370) | 15,127,969 |
| 汇率变动对现金及约当现金之影响 | 5,259,370 | 11,830,479 |
| 本期现金及约当现金增加（减少）数 | 3,082,119 | (27,517,391) |
| 期初现金及约当现金余额 | 69,322,700 | 67,812,243 |
| 期末现金及约当现金余额 | $72,404,819 | $40,294,852 |

---

后附合并财务报表附注为本合并财务报告之一部分，请并同参阅。

董事长：施崇棠 经理人：许先越 胡书宾 会计主管：刘文婷
