### 财务报告分析

#### 1. 预付设备款及预付房地款变动情况

| 项目 | 112年 | 111年 |
|------|------|------|
| 1月1日 | $30,238,972 | $23,841,061 |
| 本期增添 | 2,247,488 | 4,764,823 |
| 企业合并取得数 | 125,292 | - |
| 重分类转出至不动产、厂房及设备 | (3,921,873) | (4,571,927) |
| 重分类转入至预付设备款 | 236,066 | - |
| 损益换算差额 | (164,882) | 583,837 |
| 3月31日 | $28,761,063 | $24,617,794 |

#### 2. 预付设备款资本化金额及利率区间

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|------------------|------------------|
| 资本化金额 | $1,630 | $4,288 |
| 资本化利率区间 | 0.13%~5.68% | 0.86%~1.36% |

#### (十四) 其他流动负债

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 预收款项 | $22,079 | $14,394 | $14,722 |
| 一年或一营业周期内到期之长期负债 | 5,260,462 | 4,819,851 | 8,928,060 |
| 一年或一营业周期内到期之公司债 | 2,000,000 | 2,000,000 | 4,000,000 |
| 代理船往来 | 1,947,454 | 3,158,341 | 10,560,925 |
| 代理店往来 | 304,723 | 425,433 | 547,016 |
| 其他 | 269,734 | 730,817 | 154,214 |
| 总计 | $9,804,452 | $11,148,836 | $24,204,937 |

#### (十五) 应付公司债

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 国内有担保普通公司债 | $2,000,000 | $2,000,000 | $6,000,000 |
| 国内无担保可转换公司债 | 4,981,000 | 4,981,000 | 4,981,000 |
| 减：应付公司债折价 | (161,948) | (174,846) | (213,332) |
| 减：一年内到期部分（表列其他流动负债） | (2,000,000) | (2,000,000) | (4,000,000) |
| 总计 | $4,819,052 | $4,806,154 | $6,767,668 |
