### 财务报告

#### 投资活动之现金流量
| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|----------------------|----------------------|
| 取得按摊销后成本衡量之金融资产－流动 | ($2,696,525) | ($4,735,750) |
| 按摊销后成本衡量之金融资产－流动到期还本 | 11,627,176 | 4,205,450 |
| 应收关系人款项减少 | 824 | 26,134 |
| 处分待出售非流动资产款 | 567,842 | 72,124 |
| 其他流动资产－其他减少 | 16,470 | 8,032 |
| 取得透过其他综合损益按公允价值衡量之金融资产－非流动 | (406,566) | (2,064,410) |
| 处分透过其他综合损益按公允价值衡量之金融资产－非流动 | 705,750 | 288,117 |
| 透过其他综合损益按公允价值衡量之金融资产－非流动退回股款 | - | 55,355 |
| 取得按摊销后成本衡量之金融资产－非流动 | (12,221,678) | (1,608,566) |
| 取得采用权益法之投资－非子公司 | (59,835) | (94,744) |
| 采用权益法之投资退回股款 | - | 4,500 |
| 购置不动产、厂房及设备现金支付数 | (13,384,611) | (10,232,768) |
| 购置不动产、厂房及设备支付之利息 | (10,897) | (6,116) |
| 处分不动产、厂房及设备款 | 316,309 | 550,324 |
| 取得使用权资产现金支付数 | (750,372) | - |
| 处分使用权资产款 | - | 96,017 |
| 购置投资性不动产 | (2,783,799) | (382,569) |
| 处分投资性不动产款 | 39,580 | 58,478 |
| 无形资产增加 | (304,219) | (174,505) |
| 处分无形资产款 | - | 9 |
| 预付设备款增加 | (1,919,113) | (1,376,395) |
| 存出保证金增加 | (83,069) | (115,344) |
| 其他非流动资产－其他增加 | (596,809) | (469,339) |
| 因合并产生之净现金流入 | - | 4,783 |
| 投资活动之净现金流出 | (21,193,170) | (16,641,555) |

#### 筹资活动之现金流量
| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|----------------------|----------------------|
| 短期借款增加 | (18,561,967) | 1,233,537 |
| 应付短期票券减少 | (4,505,306) | (7,589,714) |
| 发行应付公司债 | 4,000,000 | 9,950,000 |
| 偿还应付公司债 | (5,000,000) | (1,400,000) |
| 贷借长期借款 | (52,071,330) | 16,359,512 |
| 偿还长期借款 | (45,164,631) | (21,950,233) |
| 租赁本金偿还 | (10,685,711) | (8,944,039) |
| 存入保证金增加 | 338,131 | 421,196 |
| 其他非流动负债－其他增加 | 75,363 | 123,842 |
| 以前年度转列资本公积之未付现金股利本期支付数 | (504) | (465) |
| 发放现金股利 | (15,341,442) | - |
| 与非控制权益股东股权交易现金净流出数 | (225,736) | (1,664,357) |
| 非控制权益变动 | (6,874,568) | (3,890,829) |
| 筹资活动之净现金流出 | (12,751,107) | (17,351,550) |
| 汇率变动对现金及约当现金之影响 | 3,222,075 | (1,172,851) |
| 本期现金及约当现金增加(减少)数 | 13,460,915 | (907,179) |
| 期初现金及约当现金余额 | 80,837,880 | 81,978,785 |
| 期末现金及约当现金余额 | $ 94,298,795 | $ 81,071,606 |

---

**后附合併財務報表附註為本合併財務報告之一部分，請併同參閱。**

---

**董事長：羅智先**  
**經理人：黃釗凱 李清田**  
**會計主管：吳琮斌**
