### 财务报告

#### 111年度
| 项目 | 111年1月1日余额 | 111年12月31日 | 111年3月31日 |
|------|----------------|---------------|--------------|
| 库存现金 | $ 52,908,484 | $ 15,762,185 | $ 8,122,482 |
| 活期存款 | - | - | - |
| 总计 | $ 52,908,484 | $ 15,762,185 | $ 8,122,482 |

#### 112年度
| 项目 | 112年1月1日余额 | 112年12月31日 | 112年3月31日 |
|------|----------------|---------------|--------------|
| 库存现金 | $ 21,164,201 | $ 15,968,043 | $ 1,145,770 |
| 活期存款 | - | - | - |
| 总计 | $ 21,164,201 | $ 15,968,043 | $ 1,145,770 |

### 财务报告

#### 111年度
| 项目 | 111年1月1日余额 | 111年12月31日 | 111年3月31日 |
|------|----------------|---------------|--------------|
| 库存现金 | $ 52,908,484 | $ 15,762,185 | $ 8,122,482 |
| 活期存款 | - | - | - |
| 总计 | $ 52,908,484 | $ 15,762,185 | $ 8,122,482 |

#### 112年度
| 项目 | 112年1月1日余额 | 112年12月31日 | 112年3月31日 |
|------|----------------|---------------|--------------|
| 库存现金 | $ 21,164,201 | $ 15,968,043 | $ 1,145,770 |
| 活期存款 | - | - | - |
| 总计 | $ 21,164,201 | $ 15,968,043 | $ 1,145,770 |

### 财务报告

#### 111年度
| 项目 | 111年1月1日余额 | 111年12月31日 | 111年3月31日 |
|------|----------------|---------------|--------------|
| 库存现金 | $ 52,908,484 | $ 15,762,185 | $ 8,122,482 |
| 活期存款 | - | - | - |
| 总计 | $ 52,908,484 | $ 15,762,185 | $ 8,122,482 |

#### 112年度
| 项目 | 112年1月1日余额 | 112年12月31日 | 112年3月31日 |
|------|----------------|---------------|--------------|
| 库存现金 | $ 21,164,201 | $ 15,968,043 | $ 1,145,770 |
| 活期存款 | - | - | - |
| 总计 | $ 21,164,201 | $ 15,968,043 | $ 1,145,770 |

### 财务报告

#### 111年度
| 项目 | 111年1月1日余额 | 111年12月31日 | 111年3月31日 |
|------|----------------|---------------|--------------|
| 库存现金 | $ 52,908,484 | $ 15,762,185 | $ 8,122,482 |
| 活期存款 | - | - | - |
| 总计 | $ 52,908,484 | $ 15,762,185 | $ 8,122,482 |

#### 112年度
| 项目 | 112年1月1日余额 | 112年12月31日 | 112年3月31日 |
|------|----------------|---------------|--------------|
| 库存现金 | $ 21,164,201 | $ 15,968,043 | $ 1,145,770 |
| 活期存款 | - | - | - |
| 总计 | $ 21,164,201 | $ 15,968,043 | $ 1,145,770 |

### 财务报告

#### 111年度
| 项目 | 111年1月1日余额 | 111年12月31日 | 111年3月31日 |
|------|----------------|---------------|--------------|
| 库存现金 | $ 52,908,484 | $ 15,762,185 | $ 8,122,482 |
| 活期存款 | - | - | - |
| 总计 | $ 52,908,484 | $ 15,762,185 | $ 8,122,482 |

#### 112年度
| 项目 | 112年1月1日余额 | 112年12月31日 | 112年3月31日 |
|------|----------------|---------------|--------------|
| 库存现金 | $ 21,164,201 | $ 15,968,043 | $ 1,145,770 |
| 活期存款 | - | - | - |
| 总计 | $ 21,164,201 | $ 15,968,043 | $ 1,145,770 |

### 财务报告

#### 111年度
| 项目 | 111年1月1日余额 | 111年12月31日 | 111年3月31日 |
|------|----------------|---------------|--------------|
| 库存现金 | $ 52,908,484 | $ 15,762,185 | $ 8,122,482 |
| 活期存款 | - | - | - |
| 总计 | $ 52,908,484 | $ 15,762,185 | $ 8,122,482 |

#### 112年度
| 项目 | 112年1月1日余额 | 112年12月31日 | 112年3月31日 |
|------|----------------|---------------|--------------|
| 库存现金 | $ 21,164,201 | $ 15,968,043 | $ 1,145,770 |
| 活期存款 | - | - | - |
| 总计 | $ 21,164,201 | $ 15,968,043 | $ 1,145,770 |

### 财务报告

#### 111年度
| 项目 | 111年1月1日余额 | 111年12月31日 | 111年3月31日 |
|------|----------------|---------------|--------------|
| 库存现金 | $ 52,908,484 | $ 15,762,185 | $ 8,122,482 |
| 活期存款 | - | - | - |
| 总计 | $ 52,908,484 | $ 15,762,185 | $ 8,122,4
