### 财务报告

#### 投资活动之现金流量

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 取得按摊销后成本衡量之金融资产－流动 | ($1,588,538) | ($1,969,604) |
| 按摊销后成本衡量之金融资产－流动到期还本 | 2,506,437 | 1,753,099 |
| 应收关系人款项(增加)减少 | (5,700) | 2,799 |
| 处分待出售非流动资产价款 | 6(七) | 9,359 |
| 其他流动资产－其他减少 | 57,227 | 13,298 |
| 取得透过其他综合损益按公允价值衡量之金融资产－非流动 | (57,681) | (2,044,131) |
| 处分透过其他综合损益按公允价值衡量之金融资产－非流动 | 650,878 | 113,487 |
| 取得按摊销后成本衡量之金融资产－非流动 | (2,799,295) | (1,644,482) |
| 取得采用权益法之投资－非子公司 | (59,657) | (54,056) |
| 购置不动产、厂房及设备现金支付数 | 6(三十六) | (4,916,313) |
| 购置不动产、厂房及设备支付之利息 | 6(十)(三十) | (4,791) |
| 购置不动产、厂房及设备支付之利息 | (三十六) | (1,220) |
| 处分不动产、厂房及设备价款 | 47,195 | 102,085 |
| 处分使用权资产价款 | - | 55,949 |
| 购置投资性不动产现金支付数 | 6(三十六) | (67,765) |
| 购置投资性不动产支付之利息 | 6(十)(三十) | (419) |
| 购置投资性不动产支付之利息 | (三十六) | - |
| 处分投资性不动产价款 | - | 1,323 |
| 无形资产增加 | 6(十四) | (44,995) |
| 预付设备款增加 | (458,354) | (443,767) |
| 存出保证金增加 | 22,204 | 100,218 |
| 其他非流动资产－其他增加 | (84,008) | (189,328) |
| 投资活动之净现金流出 | (6,838,624) | (8,126,145) |

#### 筹资活动之现金流量

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 短期借款增加 | 6(三十七) | 7,157,510 |
| 应付短期票券(减少)增加 | 6(三十七) | (1,229,518) |
| 购借长期借款 | 6(三十七) | 8,362,975 |
| 偿还长期借款 | 6(三十七) | (6,515,077) |
| 租赁本金偿还 | 6(三十七) | (3,156,225) |
| 存入保证金增加 | 6(三十七) | 237,142 |
| 其他非流动负债－其他增加 | 50,162 | 50,486 |
| 以前年度转列资本公积之未付现金股利本期支付数 | 6(二十三) | (150) |
| 与非控制权益股东股权交易现金净流出数 | 6(三十五) | (20,411) |
| 非控制权益变动 | - | 635,660 |
| 筹资活动之净现金流入 | - | 3,405 |
| 现金及现金等价物净增加额 | 5,522,068 | 3,736,966 |
| 现金及现金等价物净增加额 | 515,911 | 63,292 |
| 本期现金及现金等价物净增加额 | 1,278,488 | (3,034,847) |
| 期初现金及现金等价物余额 | 6(一) | 80,837,880 |
| 期末现金及现金等价物余额 | 6(一) | $82,116,368 | $78,943,938 |

#### 董事长：罗智先
#### 经理人：黄剑凯 李清田
#### 会计主管：吴琮斌
