### 财务报告

#### 合并综合损益表
**单位：新台币仟元**
**（除每股盈余为新台币元外）**

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 4000 營業收入 | $170,824,671 | $89,953,060 |
| 5000 營業成本 | (52,797,926) | (43,313,405) |
| 5900 營業毛利 | 118,026,745 | 46,639,655 |
| 5910 未實現銷貨利益 | (13,192) | (26,841) |
| 5920 已實現銷貨利益 | 5,211 | 3,352 |
| 5950 營業毛利淨額 | 118,018,764 | 46,616,166 |
| 6000 營業費用 | (3,507,204) | (2,666,533) |
| 6500 其他收益及費損淨額 | 290,879 | 34,964 |
| 6900 營業利益 | 114,802,439 | 43,984,597 |
| 營業外收入及支出 | | |
| 7100 利息收入 | 243,150 | 62,213 |
| 7010 其他收入 | 126,065 | 117,941 |
| 7020 其他利益及損失 | 231,026 | (27,373) |
| 7050 財務成本 | 753,112 | (883,368) |
| 7060 採用權益法認列之關聯企業及合資損益之份額 | 2,726,434 | 1,059,644 |
| 7000 營業外收入及支出合計 | 2,573,563 | 329,057 |
| 7900 稅前淨利 | 117,376,002 | 44,313,654 |
| 7950 所得稅費用 | (11,224,725) | (3,447,966) |
| 8200 本期淨利 | $106,151,277 | $40,865,688 |

#### 附註
- 项目4000：營業收入
- 项目5000：營業成本
- 项目5900：營業毛利
- 项目5910：未實現銷貨利益
- 项目5920：已實現銷貨利益
- 项目5950：營業毛利淨額
- 项目6000：營業費用
- 项目6500：其他收益及費損淨額
- 项目6900：營業利益
- 项目7100：利息收入
- 项目7010：其他收入
- 项目7020：其他利益及損失
- 项目7050：財務成本
- 项目7060：採用權益法認列之關聯企業及合資損益之份額
- 项目7000：營業外收入及支出合計
- 项目7900：稅前淨利
- 项目7950：所得稅費用
- 项目8200：本期淨利

#### 附注
- 项目4000：營業收入
- 项目5000：營業成本
- 项目5900：營業毛利
- 项目5910：未實現銷貨利益
- 项目5920：已實現銷貨利益
- 项目5950：營業毛利淨額
- 项目6000：營業費用
- 项目6500：其他收益及費損淨額
- 项目6900：營業利益
- 项目7100：利息收入
- 项目7010：其他收入
- 项目7020：其他利益及損失
- 项目7050：財務成本
- 项目7060：採用權益法認列之關聯企業及合資損益之份額
- 项目7000：營業外收入及支出合計
- 项目7900：稅前淨利
- 项目7950：所得稅費用
- 项目8200：本期淨利

#### 附注
- 项目4000：營業收入
- 项目5000：營業成本
- 项目5900：營業毛利
- 项目5910：未實現銷貨利益
- 项目5920：已實現銷貨利益
- 项目5950：營業毛利淨額
- 项目6000：營業費用
- 项目6500：其他收益及費損淨額
- 项目6900：營業利益
- 项目7100：利息收入
- 项目7010：其他收入
- 项目7020：其他利益及損失
- 项目7050：財務成本
- 项目7060：採用權益法認列之關聯企業及合資損益之份額
- 项目7000：營業外收入及支出合計
- 项目7900：稅前淨利
- 项目7950：所得稅費用
- 项目8200：本期淨利

#### 附注
- 项目4000：營業收入
- 项目5000：營業成本
- 项目5900：營業毛利
- 项目5910：未實現銷貨利益
- 项目5920：已實現銷貨利益
- 项目5950：營業毛利淨額
- 项目6000：營業費用
- 项目6500：其他收益及費損淨額
- 项目6900：營業利益
- 项目7100：利息收入
- 项目7010：其他收入
- 项目7020：其他利益及損失
- 项目7050：財務成本
- 项目7060：採用權益法認列之關聯企業及合資損益之份額
- 项目7000：營業外收入及支出合計
- 项目7900：稅前淨利
- 项目7950：所得稅費用
- 项目8200：本期淨利

#### 附注
- 项目4000：營業收入
- 项目5000：營業成本
- 项目5900：營業毛利
- 项目5910：未實現銷貨利益
- 项目5920：已實現銷貨利益
- 项目5950：營業毛利淨額
- 项目6000：營業費用
- 项目6500：其他收益及費損淨額
- 项目6900：營業利益
- 项目7100：利息收入
- 项目7010：其他收入
- 项目7020：其他利益及損失
- 项目7050：財務成本
- 项目7060：採用權益法認列之關聯企業及合資損益之份額
- 项目7000：營業外收入及支出合計
- 项目7900：稅前淨利
- 项目7950：所得稅費用
- 项目8200：本期淨利

#### 附注
- 项目4000：營業收入
- 项目5000：營業成本
- 项目5900：營業毛利
- 项目5910：未
